,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.8754587809718066,0.09714693050220669,0.11909680786429933,0.07969244180254476,0.02721482299596642,0.05506118876807244,0.05469277217465179,"test_size = 0.2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.8755475698051769,0.0969833472114272,0.11891811679469388,0.07949721889656738,0.027193035613280066,0.054831291365214474,0.05483115172489029,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Multiple Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.8762817725677216,0.09577996018318535,0.11743980994874625,0.07826124691183489,0.02668573229126755,0.05367082755234089,0.05567460637658004,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Multiple Linear Regression,"['congestion_surcharge', 'total_amount']",0.8763716938175177,0.09561350130880453,0.11725866961312237,0.07806248822003664,0.026668675047059553,0.053437581815551694,0.05581608503033817,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",0.8880751533874021,0.07495310925926035,0.09352419531935385,0.07548871254527154,0.036126491813533515,0.06663352574312453,0.02818974601867062,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge']",0.8884248699860426,0.07434502327728787,0.09281012950672429,0.07494315509487082,0.03626262727123023,0.06617665579987034,0.02866220671529843,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Multiple Linear Regression,"['payment_type', 'congestion_surcharge']",0.889693993093925,0.07217082321328527,0.09021642009228348,0.07287938025260987,0.03486292608801232,0.06470135944173125,0.027586205400937563,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Simple Linear Regression,['congestion_surcharge'],0.8900596873203893,0.07153276430564759,0.08946836293761995,0.07230324015960707,0.03500212237450548,0.06422330559717689,0.028087134675548586,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.9036616113341431,0.05142586184330333,0.06142616265038614,0.021567331039733045,0.04413679965299138,-0.014169156054031639,0.11389221593369692,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Multiple Linear Regression,"['DOLocationID', 'total_amount']",0.9037471611130454,0.0512606439389387,0.061248444389432666,0.0213665633321046,0.044186743618188064,-0.014410412500790337,0.11405083189731312,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Multiple Linear Regression,"['payment_type', 'total_amount']",0.9091432656777056,0.042283635162351785,0.050004758874989896,0.01056225950696371,0.05008424900985076,-0.02651344003252958,0.12446265424330266,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Simple Linear Regression,['total_amount'],0.9092314513754702,0.04211042475923321,0.04982045336571561,0.010351013256076791,0.05014701349945291,-0.02676714535516498,0.12463035650943098,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Multiple Linear Regression,"['DOLocationID', 'payment_type']",0.9231389827683071,0.01669441215583156,0.02053040410187723,0.007780538604188841,0.010065061823548284,-0.006099559140792632,0.02217445903537932,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Simple Linear Regression,['DOLocationID'],0.9235752247709339,0.0159157333848976,0.01960446175541497,0.007062126046307571,0.009929003420606028,-0.006702727543635922,0.021659816706245685,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Simple Linear Regression,['payment_type'],0.9322688068826146,0.0008934520826792136,0.0010607352888878374,-0.008578429697968126,0.00720714193886822,-0.02084201889547308,0.024420750879232643,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
