,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.7887622279066514,0.277053534586411,0.2849292928195246,-6.562968688549063,11.785358809429875,0.20349214675559302,0.12341155884487383,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.7891452462189462,0.2780237464134647,0.28423465592069574,-169.76503481974177,294.45937534384933,0.20311504559839239,0.1241495593736743,"test_size = 0.2, Degree = 4, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.7961242459004367,0.2638034177767864,0.27151858158922093,-101064190.3084423,175048312.83741942,0.18776646253267748,0.12355728154068281,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Polynomial Linear Regression,"['congestion_surcharge', 'total_amount']",0.7964075539226123,0.2629112843211009,0.2710000159185375,-759009816725.0903,1314643566011.795,0.187721004051197,0.12302520002591738,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.8204231847690456,0.19800842971788846,0.22637120312076942,-6.272162992943131,11.180584248022852,0.1635798034928074,0.04740416989857538,"test_size = 0.2, Degree = 3, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.8211872019825253,0.19650175303811446,0.224929652118955,0.18524798591667255,0.03295777577510643,0.16231889692714113,0.04691384244005309,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.8246018032514848,0.19178355525095536,0.21847056813337462,-130856.47243388089,226650.36658476517,0.15871139251460437,0.04322371738901785,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Polynomial Linear Regression,"['congestion_surcharge', 'total_amount']",0.8253551485786272,0.190308412371043,0.21704192588304672,-31931850.556616925,55307587.84934443,0.15741982011300687,0.042755201305101964,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.8491925561131568,0.13719378074564126,0.17116299138221402,0.1253329320468698,0.03562424101567583,0.10353446964492907,0.03623249330213018,"test_size = 0.2, Degree = 2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.8494891833331116,0.13659790614916134,0.17058385640230378,0.12478702963832314,0.03555844039291526,0.10304958542789522,0.03606816427204163,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.85098879058897,0.13424495296132533,0.16765292724361502,0.12298149587111243,0.032915327363772,0.10227991514891192,0.03445984101565452,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.8511874432539341,0.18351046462943876,0.16726427990721848,0.1397396604991379,0.05496308196442177,0.0766573481739046,0.182449940766705,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Polynomial Linear Regression,"['congestion_surcharge', 'total_amount']",0.8512862086670926,0.1336497956910503,0.1670710198687304,0.12243897112125829,0.0328458195395721,0.10179468017211155,0.034293305527552685,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",0.8514118508046192,0.18272110650573292,0.16682513617139239,0.13948746824631725,0.054679824878075226,0.07682202065856539,0.1814307923821498,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Polynomial Linear Regression,"['payment_type', 'total_amount']",0.8651615384306122,0.1606482183915825,0.13969749795403064,0.11634457462868134,0.06341220411268012,0.05328140979373426,0.1856067650749633,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
15,Polynomial Linear Regression,['total_amount'],0.8653878872681727,0.15991911075618626,0.13924728389419871,0.11621850254031899,0.06326941956585062,0.05357511139807851,0.18459493820705075,"test_size = 0.2, Degree = 4, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
