,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Multiple Linear Regression,"['DOLocationID', 'total_amount', 'fare_amount', 'trip_distance']",0.5839990093715083,0.6607300725505196,0.6597016439940266,0.5978129733580518,0.19987141367017305,0.583312898141935,0.2625020254975776,"test_size = 0.2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Multiple Linear Regression,"['total_amount', 'fare_amount', 'trip_distance']",0.5850921258433938,0.6594152148439079,0.6584265258185393,0.5994638744800471,0.19345804123993998,0.5855516339783867,0.25371840854863054,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Multiple Linear Regression,"['DOLocationID', 'total_amount', 'fare_amount']",0.5860568684197496,0.6586027253176638,0.6572991746344423,0.596995820731419,0.20144550048509277,0.5824487630956698,0.2645801449853725,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Multiple Linear Regression,"['total_amount', 'fare_amount']",0.5871280096868888,0.6573043863025874,0.6560453152405675,0.5986217419688433,0.19509238056434045,0.5846570195074212,0.25587145077085466,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Multiple Linear Regression,"['DOLocationID', 'total_amount', 'trip_distance']",0.6539145781880585,0.5771171774587921,0.5733441849433463,0.4936948043425995,0.26241349201863545,0.4748810825388493,0.3434837327093507,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Multiple Linear Regression,"['total_amount', 'trip_distance']",0.6539551978445433,0.5770570189951982,0.5732911775583096,0.49640053665827943,0.2586656102571325,0.47794163389707434,0.33833734650393643,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Multiple Linear Regression,"['DOLocationID', 'total_amount']",0.6799278428329317,0.5426815769974804,0.5387235510957806,0.4364059508768685,0.3100616737755727,0.41429214440286344,0.40631915099927907,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Simple Linear Regression,['total_amount'],0.6802500814460086,0.5421916137932945,0.5382862214365052,0.4385408540909539,0.30746872486424986,0.4166786278568778,0.4027993034290394,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Multiple Linear Regression,"['DOLocationID', 'fare_amount', 'trip_distance']",0.7685509893907719,0.4172119234652035,0.4106395314283612,0.2924264285983576,0.3252002240726342,0.27002972325347885,0.42390379217395757,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Multiple Linear Regression,"['DOLocationID', 'fare_amount']",0.7686968156355473,0.41709165995078323,0.4104158575830523,0.2984826903845539,0.3142923697024946,0.2770991264406213,0.409159797752652,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Multiple Linear Regression,"['fare_amount', 'trip_distance']",0.7708443161390369,0.4134704859371364,0.4071170255668196,0.28671163106391645,0.33130153916827354,0.26383993870822803,0.43212175616017806,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Simple Linear Regression,['fare_amount'],0.771013339091014,0.41332475883174813,0.4068569942867636,0.2927701836671866,0.32030799449220104,0.27092032333249616,0.41725367405174435,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Multiple Linear Regression,"['DOLocationID', 'trip_distance']",0.7977037438772617,0.3707788770510879,0.36508017067979937,0.22639944458416905,0.35834163261898805,0.20116515239224136,0.4702047804696085,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Simple Linear Regression,['trip_distance'],0.8002134441205104,0.3665430042094301,0.3610787726756074,0.2193299449242207,0.3654766848651069,0.1935439698927525,0.4798389387309056,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Simple Linear Regression,['DOLocationID'],0.9935821324048543,0.01543251091753517,0.014984246881951213,0.0024140881723862806,0.023268390526246595,-0.0017823766958059428,0.03624191235149364,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
