,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Polynomial Linear Regression,"['DOLocationID', 'total_amount', 'fare_amount', 'trip_distance']",0.5090179636456238,0.7513724565114783,0.7429173431192984,0.6707056112490306,0.18969206579547165,0.657201461616388,0.24662893818973614,"test_size = 0.2, Degree = 4, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Polynomial Linear Regression,"['total_amount', 'fare_amount', 'trip_distance']",0.5123896164464042,0.7445482687691818,0.7395003155400153,0.6699461327997337,0.18014137686860227,0.6543343154762039,0.24130166143051102,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Polynomial Linear Regression,"['DOLocationID', 'total_amount', 'fare_amount']",0.5184408846618935,0.737174448214408,0.7333110341992428,0.664773262984421,0.18992673867983978,0.6503645053668803,0.250009112241216,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Polynomial Linear Regression,"['DOLocationID', 'total_amount', 'fare_amount', 'trip_distance']",0.5185809772597778,0.7365416941273226,0.733166885853699,0.6934295401896116,0.12929097364767878,0.6840916342877134,0.16912307590348746,"test_size = 0.2, Degree = 3, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Polynomial Linear Regression,"['total_amount', 'fare_amount']",0.5220196440844034,0.7323645966136788,0.7296164576015849,0.6786578977684065,0.15997029619759207,0.6660554621109046,0.21169435062054745,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Polynomial Linear Regression,"['total_amount', 'fare_amount', 'trip_distance']",0.5226380393947807,0.7325276655789794,0.7289754742472879,0.6913207576393942,0.12644453917232062,0.6819170878476772,0.16574920842889695,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Polynomial Linear Regression,"['DOLocationID', 'total_amount', 'fare_amount']",0.5298354417461392,0.724964105026476,0.7214593577230005,0.6748046294346025,0.1522287985226613,0.6634477530257765,0.19950384393267137,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Polynomial Linear Regression,"['total_amount', 'fare_amount']",0.5347912540729112,0.7201590391854453,0.7162243326653583,0.6740935701215265,0.14518627214926835,0.6630671236468031,0.19086772147018216,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Polynomial Linear Regression,"['DOLocationID', 'total_amount', 'fare_amount', 'trip_distance']",0.5472427370929963,0.7066404348896111,0.7028562677501078,0.6287536618567059,0.1964020869824808,0.6138725326110046,0.25811627569723544,"test_size = 0.2, Degree = 2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Polynomial Linear Regression,"['total_amount', 'fare_amount', 'trip_distance']",0.5490493189007668,0.704635164380796,0.7008911414823975,0.6323634987347968,0.18738170770423157,0.6182000907153986,0.24637384900697698,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Polynomial Linear Regression,"['DOLocationID', 'total_amount', 'fare_amount']",0.5513127203014601,0.7027018037369097,0.698419965120991,0.627926573032234,0.19493940697019102,0.612659331085559,0.25729667478630286,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Polynomial Linear Regression,"['total_amount', 'fare_amount']",0.5530445491868088,0.7007672006691463,0.6965222931873658,0.6313941594823215,0.18654232754512487,0.6168606490412556,0.24624888900436329,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
