DOLocationID,payment_type,congestion_surcharge,total_amount,tip_amount
138,1.0,0.0,16.56,2.76
138,1.0,0.0,13.56,2.26
138,1.0,0.0,39.45,5.15
132,2.0,0.0,42.8,0.0
138,2.0,0.0,12.8,0.0
138,1.0,0.0,54.36,9.06
132,2.0,0.0,38.8,0.0
132,2.0,0.0,20.8,0.0
132,1.0,0.0,60.36,10.06
138,2.0,0.0,20.8,0.0
138,2.0,0.0,14.8,0.0
264,1.0,0.0,40.3,0.0
132,2.0,0.0,18.3,0.0
132,2.0,0.0,17.8,0.0
138,1.0,0.0,30.5,5.08
138,1.0,0.0,16.55,2.75
132,1.0,0.0,73.92,0.0
138,1.0,0.0,34.97,8.05
132,1.0,0.0,68.31,11.06
132,2.0,0.0,58.92,0.0
138,2.0,0.0,11.8,0.0
138,1.0,0.0,37.25,7.45
138,1.0,0.0,23.8,4.0
132,1.0,0.0,15.81,0.01
138,2.0,0.0,27.42,0.0
138,1.0,0.0,11.8,0.0
132,2.0,0.0,13.8,0.0
138,1.0,0.0,36.36,6.06
138,2.0,0.0,16.8,0.0
138,1.0,0.0,13.8,2.0
132,2.0,0.0,58.92,0.0
138,1.0,0.0,30.36,5.06
132,1.0,0.0,70.7,11.78
132,1.0,0.0,20.76,3.46
132,1.0,0.0,71.8,1.0
138,1.0,0.0,13.56,2.26
132,1.0,0.0,19.75,3.95
138,1.0,0.0,32.42,5.5
138,1.0,0.0,12.0,0.2
138,2.0,0.0,10.8,0.0
138,1.0,0.0,59.76,9.96
132,1.0,0.0,61.92,3.0
132,2.0,0.0,23.8,0.0
138,2.0,0.0,7.8,0.0
132,1.0,0.0,20.3,2.0
138,1.0,0.0,20.0,5.7
138,2.0,0.0,28.8,0.0
132,2.0,0.0,16.8,0.0
138,2.0,0.0,12.3,0.0
138,2.0,0.0,11.8,0.0
138,1.0,0.0,14.3,0.0
132,2.0,0.0,12.8,0.0
132,1.0,0.0,46.3,5.0
138,2.0,0.0,15.8,0.0
138,2.0,0.0,11.3,0.0
132,1.0,0.0,20.3,2.0
1,1.0,2.75,70.05,3.0
138,1.0,0.0,15.36,2.56
138,1.0,0.0,14.3,1.0
138,1.0,0.0,11.3,0.0
138,2.0,0.0,12.3,0.0
132,2.0,0.0,15.3,0.0
132,1.0,0.0,30.8,3.5
132,1.0,0.0,70.7,11.78
138,1.0,0.0,17.91,2.66
138,2.0,0.0,20.0,0.0
138,1.0,0.0,34.9,6.98
132,2.0,0.0,12.8,0.0
132,1.0,0.0,73.65,14.73
138,2.0,0.0,15.3,0.0
138,1.0,0.0,34.67,5.75
138,2.0,0.0,13.8,0.0
138,1.0,0.0,43.65,8.73
138,1.0,0.0,15.3,2.0
132,2.0,0.0,41.3,0.0
132,1.0,0.0,21.8,3.0
138,1.0,0.0,31.62,6.32
138,2.0,0.0,12.3,0.0
138,1.0,0.0,18.36,3.06
132,2.0,0.0,58.92,0.0
132,2.0,0.0,50.3,0.0
138,1.0,0.0,29.9,4.98
132,1.0,0.0,68.75,13.75
132,2.0,0.0,39.8,0.0
132,1.0,0.0,45.3,4.0
1,1.0,0.0,97.8,5.0
132,1.0,0.0,48.64,6.34
132,1.0,0.0,47.76,7.96
1,2.0,0.0,101.3,0.0
132,1.0,0.0,70.7,11.78
132,1.0,0.0,47.55,7.25
132,1.0,0.0,20.16,3.36
138,2.0,0.0,99.37,0.0
132,1.0,0.0,66.36,11.06
138,1.0,0.0,38.3,12.0
138,1.0,0.0,18.36,3.06
132,1.0,0.0,70.7,11.78
132,2.0,0.0,18.3,0.0
138,1.0,0.0,42.5,7.08
138,1.0,0.0,13.3,0.0
138,1.0,0.0,22.3,0.0
1,1.0,0.0,106.92,10.0
138,1.0,0.0,17.76,2.96
132,1.0,0.0,62.76,10.46
132,2.0,0.0,52.8,0.0
138,1.0,0.0,16.3,2.0
132,1.0,0.0,66.36,11.06
138,2.0,0.0,10.8,0.0
132,1.0,0.0,45.36,7.56
138,1.0,0.0,16.56,2.76
132,1.0,0.0,75.38,15.08
