,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",1.0284286189992247,0.1048299840466036,0.08853961116310383,0.08096875124252878,0.028928999876379657,0.058801114204012725,0.04522133441982325,"test_size = 0.2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",1.0285226120210638,0.10461154534921469,0.08837299808060373,0.0807262232410979,0.028865821367976538,0.05852297826411075,0.04537829770487852,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Multiple Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",1.0286893659187808,0.10422183765596993,0.0880773707850846,0.08038966213322746,0.028478132604153012,0.0582947997238011,0.045327048439189166,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Multiple Linear Regression,"['congestion_surcharge', 'total_amount']",1.028784568661526,0.10400263950096167,0.08790857045385347,0.08014567889424642,0.028416033715770807,0.05801531392554253,0.04548601638841131,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",1.0368458511205738,0.08763628724577621,0.0735587571284495,0.08297299242379025,0.0419339828366783,0.07399934921889686,0.03322821453228055,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge']",1.0371358561939397,0.08698966929681629,0.0730404346910356,0.0824420098865821,0.04206448938582338,0.07355900107760568,0.033705670131626286,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Multiple Linear Regression,"['payment_type', 'congestion_surcharge']",1.0374632264182364,0.08624911880869923,0.0724551558152603,0.08186502675520332,0.0417270272530034,0.07325597365677075,0.033680707199755855,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Simple Linear Regression,['congestion_surcharge'],1.0377628295863037,0.0855857914633592,0.07191935754755219,0.08131714728294084,0.04186176179763261,0.07280284751546653,0.03417610473717864,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",1.0556067720383797,0.046477365000494375,0.039728968951688426,0.012243509081741932,0.04405124512297011,-0.021658337014359465,0.11347982120478337,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Multiple Linear Regression,"['DOLocationID', 'total_amount']",1.0556969284175073,0.0462559555571489,0.03956493389909577,0.011992793512122624,0.04411817039015091,-0.021953711104997952,0.11367483779610328,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Multiple Linear Regression,"['payment_type', 'total_amount']",1.0597242983993025,0.037333404186897456,0.03222304380912977,0.001985473257583248,0.04930122039887303,-0.03294831387996293,0.12272287139882777,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Simple Linear Regression,['total_amount'],1.0598188621894364,0.03710855650113787,0.03205031824204829,0.0017277139711388279,0.04938216845435451,-0.03325263443158999,0.12292576458282713,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Multiple Linear Regression,"['DOLocationID', 'payment_type']",1.0699955833480463,0.01609977724159184,0.013371941300740375,0.005312589979094451,0.00965617353138324,-0.008318157522592618,0.024107703672234807,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Simple Linear Regression,['DOLocationID'],1.0703636982536162,0.015244888037999615,0.012692957245843517,0.004590474110935827,0.009449827011543536,-0.008913492946121381,0.023540390509148402,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Simple Linear Regression,['payment_type'],1.0768071663595802,0.0009559829552522325,0.0007702252778503116,-0.009287017955918964,0.007210234452278855,-0.021424493766862573,0.02532941513551059,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
