,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.9201996151864047,0.2808030255476581,0.2702844739943744,-9.65054888937556,17.13064350361923,0.20097876936576659,0.12534614878590022,"test_size = 0.2, Degree = 4, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.9203103944443046,0.2797269071591437,0.27010876818237073,-1.6976033333503195,3.355950042045307,0.20162368129107477,0.12480666661744393,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.9241807661484,0.27470880154581523,0.26395673390805086,-321498046.29621214,556850951.1285336,0.19537101611581859,0.1258367547536731,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Polynomial Linear Regression,"['congestion_surcharge', 'total_amount']",0.9242961037297978,0.2736948508861249,0.26377300632884115,-3630047780.988193,6287427190.983531,0.195125611104081,0.12574043600012955,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.9667973486189749,0.20475771591807024,0.19450955406600645,-3.955263604075144,7.17370715153348,0.17010754470326983,0.041395660724967025,"test_size = 0.2, Degree = 3, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.9677449622817731,0.20329393033872767,0.19292976523651628,0.1869670912068875,0.0357511575688676,0.1688552605100345,0.04100787282851709,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.9684641475303148,0.19991044355087806,0.19172976171063283,-634517702.3054308,1099016899.0115643,0.1665416220354739,0.04059471817671019,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Polynomial Linear Regression,"['congestion_surcharge', 'total_amount']",0.9694391196847555,0.19843256379640828,0.19010153903273197,-71072513.16870625,123101204.14413074,0.16522308153112916,0.04012468554137925,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",0.9837677370632774,0.16487282153192695,0.1659834986466121,0.12233369925973211,0.06326044661701181,0.060177217922924034,0.18725626165796933,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.9837707666174127,0.165757047093393,0.16597836186089343,0.12251596785668192,0.06350949768530717,0.05988218137660715,0.18831842213768502,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Polynomial Linear Regression,['total_amount'],0.9886919557544827,0.1473977338566813,0.15761331548540414,0.10732927862857253,0.07026588978076899,0.046319950564374636,0.18969044642767327,"test_size = 0.2, Degree = 4, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Polynomial Linear Regression,"['payment_type', 'total_amount']",0.9886932941635274,0.14826385484065774,0.15761103477761795,0.10748189362482738,0.070474528017891,0.04595162626853755,0.1908258781095811,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",1.005152816807752,0.15156126189584374,0.12932980024214324,0.1314215364376537,0.04374552326057154,0.1137979361383425,0.02753491320553946,"test_size = 0.2, Degree = 2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",1.0054662790167799,0.15097596185846007,0.12878666937547045,0.13088667435426082,0.04371604788587288,0.11330482795309463,0.027489778874621652,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",1.006171759024745,0.1493451588891206,0.12756367617534625,0.1294059532650856,0.04244133996873902,0.112028290902831,0.02647599504653153,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
15,Polynomial Linear Regression,"['congestion_surcharge', 'total_amount']",1.006485160816394,0.14876672145360148,0.12702009961922012,0.12887966507439205,0.042413605260534074,0.11154190538967308,0.02642242769518052,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
16,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",1.0286304788961973,0.08349902264064979,0.08818177328637966,0.04944165525441585,0.0393246859345463,0.01258966474237504,0.1139198009322092,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
17,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",1.029335981523958,0.08232349818865536,0.08693057419477579,0.04833760577700105,0.03914166777043077,0.011635564187545366,0.11340338319105175,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
18,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",1.034096761996755,0.09285689678703068,0.07846496987319251,0.087973480415735,0.04423481528126836,0.07877141759979175,0.035399545638797936,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
19,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge']",1.0344781588897847,0.09202196801042917,0.07778508105592574,0.08724004015258047,0.044285213313740336,0.07812389747652293,0.03579312248383931,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
20,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",1.0348796297412022,0.09151410430625773,0.07706913698452311,0.08674097369983932,0.04458474658512808,0.07757974360101424,0.03629273051276244,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
