DOLocationID,total_amount,fare_amount,trip_distance,tip_amount
138,16.56,12.5,3.84,2.76
138,13.56,10.0,2.58,2.26
138,39.45,33.0,12.0,5.15
138,54.36,45.0,0.01,9.06
132,60.36,50.0,0.01,10.06
138,30.5,18.5,6.18,5.08
138,16.55,13.0,4.0,2.75
138,34.97,20.0,6.7,8.05
132,68.31,54.5,20.62,11.06
138,37.25,29.0,10.44,7.45
138,23.8,19.0,6.37,4.0
132,15.81,15.0,4.87,0.01
138,36.36,29.5,10.19,6.06
138,13.8,11.0,3.19,2.0
138,30.36,25.0,4.34,5.06
132,70.7,52.0,17.36,11.78
132,20.76,16.5,5.38,3.46
132,71.8,70.0,26.7,1.0
138,13.56,10.5,3.08,2.26
132,19.75,15.0,4.9,3.95
138,32.42,20.0,6.43,5.5
138,12.0,11.0,3.21,0.2
138,59.76,49.0,17.7,9.96
132,61.92,52.0,17.76,3.0
132,20.3,17.5,5.76,2.0
138,20.0,13.5,3.77,5.7
132,46.3,40.5,12.54,5.0
132,20.3,17.5,5.68,2.0
1,70.05,53.0,18.0,3.0
138,15.36,12.0,3.16,2.56
138,14.3,12.5,3.75,1.0
132,30.8,26.5,9.53,3.5
132,70.7,52.0,16.67,11.78
138,17.91,12.5,3.01,2.66
138,34.9,21.0,7.0,6.98
132,73.65,52.0,17.83,14.73
138,34.67,22.0,7.0,5.75
138,43.65,28.0,8.86,8.73
138,15.3,12.5,3.8,2.0
132,21.8,18.0,5.98,3.0
138,31.62,25.0,4.33,6.32
138,18.36,14.5,3.84,3.06
138,29.9,18.0,5.87,4.98
132,68.75,55.0,18.0,13.75
132,45.3,40.5,14.51,4.0
1,97.8,82.0,24.31,5.0
132,48.64,41.5,15.5,6.34
132,47.76,39.0,12.6,7.96
132,70.7,52.0,18.38,11.78
132,47.55,39.5,14.59,7.25
132,20.16,16.0,5.22,3.36
132,66.36,55.0,18.05,11.06
138,38.3,24.5,7.56,12.0
138,18.36,14.5,4.74,3.06
132,70.7,52.0,17.77,11.78
138,42.5,27.5,9.02,7.08
1,106.92,77.0,21.27,10.0
138,17.76,14.0,4.35,2.96
132,62.76,51.5,18.88,10.46
138,16.3,12.5,3.3,2.0
132,66.36,55.0,17.58,11.06
132,45.36,37.0,13.33,7.56
138,16.56,13.0,3.44,2.76
132,75.38,60.0,19.14,15.08
138,14.3,10.5,3.04,2.0
132,63.11,52.0,19.15,0.05
132,75.65,52.0,17.22,11.78
132,73.42,52.0,16.91,10.0
132,21.62,16.5,5.35,4.32
132,47.76,38.0,14.12,7.96
132,68.92,52.0,17.4,10.0
138,17.16,13.0,2.66,2.86
138,17.0,15.0,3.76,0.7
138,14.16,10.5,3.06,2.36
138,14.8,11.5,3.43,2.0
138,33.92,25.5,9.05,1.0
132,26.16,20.5,6.88,4.36
132,17.3,14.0,4.41,2.0
138,15.38,11.0,3.37,3.08
138,16.56,12.5,3.58,2.76
138,34.12,26.0,8.2,6.82
132,50.02,40.5,14.79,6.27
132,73.67,52.0,18.7,12.28
138,41.3,27.5,8.46,6.88
138,18.36,14.5,4.0,3.06
138,37.4,23.0,7.54,7.48
138,15.87,13.0,3.85,2.07
132,70.7,52.0,18.77,11.78
132,70.7,52.0,16.94,11.78
1,100.55,54.5,18.52,30.0
138,14.15,11.0,3.3,2.35
138,16.0,12.0,3.21,3.2
132,70.7,52.0,17.42,11.78
132,70.7,52.0,18.24,11.78
1,109.3,89.5,26.46,7.0
138,32.3,20.0,6.37,5.38
138,32.11,21.0,6.79,4.19
138,35.65,28.5,9.6,4.4
138,30.5,18.5,6.1,5.08
138,26.3,22.0,4.26,4.0
138,36.78,22.5,7.14,7.36
1,105.66,85.0,16.82,17.61
138,32.8,22.0,6.21,10.0
138,14.8,12.0,3.34,2.0
138,16.0,12.0,3.32,3.2
132,74.65,50.5,18.55,17.23
132,23.15,18.5,6.4,3.85
138,15.36,12.0,3.79,2.56
138,15.3,12.5,3.77,2.0
138,14.16,11.0,3.12,2.36
138,12.0,11.0,3.1,0.2
138,45.8,31.0,10.71,7.88
138,40.7,27.0,8.27,6.78
138,13.56,10.5,3.09,2.26
138,14.3,12.5,3.85,1.0
138,40.71,29.0,9.41,5.96
132,45.96,37.5,13.96,7.66
138,15.34,11.0,3.09,3.54
138,14.76,11.5,3.14,2.46
132,62.3,53.5,14.07,8.0
138,30.92,20.0,6.64,4.0
138,18.8,15.0,3.58,3.0
132,70.7,52.0,18.59,11.78
