,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Polynomial Linear Regression,"['DOLocationID', 'total_amount', 'fare_amount']",0.38636955508898385,0.8499760806317,0.8544469635915393,0.7926496614163798,0.05610837449828139,0.7967103406575307,0.0717489476591197,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Polynomial Linear Regression,"['DOLocationID', 'total_amount', 'fare_amount', 'trip_distance']",0.4139337594717104,0.8586413826844375,0.8329381947989969,0.6985717889707846,0.1558908526830211,0.7111315750314768,0.185622386739065,"test_size = 0.2, Degree = 3, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Polynomial Linear Regression,"['total_amount', 'fare_amount']",0.41791803241406955,0.8522900526802363,0.8297066475316224,0.6422322954565727,0.2049440535636362,0.6530079266763369,0.24759763874053753,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Polynomial Linear Regression,"['total_amount', 'fare_amount']",0.4223232791229155,0.8246844010097378,0.826097623782855,0.8123678254532933,0.026697575383055238,0.8137489777588393,0.034948118170586795,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Polynomial Linear Regression,"['DOLocationID', 'total_amount', 'fare_amount', 'trip_distance']",0.4228432918529833,0.8274767540365214,0.825669103127388,0.8118929580342151,0.010704665787407959,0.8112750084511374,0.026097083859403094,"test_size = 0.2, Degree = 2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Polynomial Linear Regression,"['DOLocationID', 'total_amount', 'fare_amount']",0.4230032380516256,0.8254198006543939,0.8255371921406663,0.8183775010610024,0.0114533463426064,0.8186594874213204,0.021900663275414702,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Polynomial Linear Regression,"['total_amount', 'fare_amount', 'trip_distance']",0.43971766999550477,0.8137571818281459,0.8114774479605678,0.8043866811274042,0.005936127101276431,0.8043955488411552,0.02054116258346352,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Polynomial Linear Regression,"['total_amount', 'fare_amount']",0.44096052164986177,0.8112735996775755,0.8104102327391549,0.807766339317052,0.011492401269066841,0.8082465323338781,0.019295192195518236,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Polynomial Linear Regression,"['DOLocationID', 'total_amount', 'trip_distance']",0.4859564373160802,0.7744214359104927,0.7697444256249211,0.7579620168004642,0.031638751578415315,0.7608014377146781,0.038899646367733264,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Polynomial Linear Regression,"['DOLocationID', 'total_amount', 'trip_distance']",0.48823992168798547,0.7716411936556291,0.7675754232883085,0.768802211832603,0.012479112870134335,0.7700168378531651,0.020166460874783132,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
