,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.5774536251033819,0.2719137613894921,0.46256972870218116,0.3219055537803787,0.08938906720465341,0.31875380043439033,0.09285430962573266,"test_size = 0.2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Multiple Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.5782512993011969,0.271354984243649,0.4610839285149366,0.32130683186650294,0.08946222178007089,0.3184885771641097,0.09323087474174092,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.5918396155223357,0.2577479838233656,0.43545838101723333,0.298833119596756,0.07684847937383599,0.283950381167843,0.07355748637500907,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",0.5948577982919612,0.24675485853533097,0.42968575487170513,0.3025171854583566,0.09695695811807112,0.31520558479522454,0.1195013527293388,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Multiple Linear Regression,"['payment_type', 'total_amount']",0.5964372839930847,0.2537670932006485,0.42665310028153713,0.29336102780226325,0.07573028749903135,0.27737175589285235,0.07182945107276842,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Multiple Linear Regression,"['payment_type', 'congestion_surcharge']",0.5971877426318403,0.24448265933814783,0.42520938159410804,0.30038120663891343,0.09749225688021806,0.31415670413517305,0.1218802042828166,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Multiple Linear Regression,"['DOLocationID', 'payment_type']",0.6150285506954418,0.22492085309315735,0.3903529809558245,0.273573680245031,0.08680148100316912,0.2809888755190426,0.10355429208722775,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Simple Linear Regression,['payment_type'],0.6252310568433452,0.2141036824533834,0.3699587484695057,0.26301994901498826,0.08862417978692154,0.2750083275423432,0.11317690679053037,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.718777969071403,0.09855474111692253,0.1673213771527151,0.07857940387468568,0.014524385732103988,-0.01288549099674723,0.1645069708264164,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Multiple Linear Regression,"['congestion_surcharge', 'total_amount']",0.7217578441665814,0.09531081930833885,0.16040290780743427,0.07457298752628769,0.014061466533435877,-0.01708979652572873,0.16309790410398953,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge']",0.7243580383802406,0.08701279728673217,0.15434257067766755,0.09683497491929532,0.03724455756875192,0.0694025552870829,0.038523464447306005,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Simple Linear Regression,['congestion_surcharge'],0.7286777737357336,0.08172976477785743,0.14422627859741033,0.09320239274374062,0.039931617469522285,0.07085018983176508,0.03471823090886879,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Multiple Linear Regression,"['DOLocationID', 'total_amount']",0.7559789456138352,0.049194360710101304,0.07889889902421554,-0.008126282583199668,0.060172319799751704,-0.15115330156193138,0.30826771925787044,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Simple Linear Regression,['DOLocationID'],0.766321144154023,0.029348811164379485,0.053524191544133015,0.01182957656370609,0.013889396265680653,-0.04650362265906529,0.11010817102239795,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Simple Linear Regression,['total_amount'],0.7713084569705325,0.029761517372362545,0.04116453960142685,-0.038890885210513315,0.07168649453949971,-0.1970001155830254,0.3399030725198839,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
