,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.955851056518448,0.25497571658802065,0.20703030618745744,-5560597218400696.0,9631236902696178.0,-7100717141135647.0,1.4201434282271294e+16,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Polynomial Linear Regression,"['congestion_surcharge', 'total_amount']",0.9559392444285412,0.2539292380909508,0.20688397885849952,0.0929851335096823,0.2502484945715181,0.03118803461897086,0.25091200923228574,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.9560860874653356,0.2598757635768285,0.20664029703287845,0.08272085247185902,0.26193073597288136,0.02711343548090499,0.25655858004557613,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.9794776900101491,0.19940750715667788,0.16734472614655282,0.0377057876910763,0.2572172570302347,-0.03991107162748533,0.31158342459962657,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",0.9796070160540679,0.19842191368496032,0.1671248311501029,0.039418964229199965,0.25245882685349524,-0.0387161608450316,0.30934403444340963,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Polynomial Linear Regression,"['payment_type', 'total_amount']",0.9847130260302506,0.18745167200194413,0.15841980565786695,0.04204443918792866,0.2467189934180716,-0.04527642073968461,0.3132019580178027,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Polynomial Linear Regression,['total_amount'],0.984822736360203,0.1864144064448049,0.1582322684124592,0.04349431615811031,0.24212479541187104,-0.04422018669797741,0.3111396177217606,"test_size = 0.2, Degree = 4, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.9863041347741658,0.17922181225886935,0.15569794174044282,0.13871216305629988,0.0599961898577218,0.05688260293011245,0.21135074485954347,"test_size = 0.2, Degree = 3, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.9870587107204934,0.1776175488036461,0.1544055741911844,0.13746336979136548,0.06012916278853614,0.05593065178848298,0.21035510314948572,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.9877053355438867,0.17554445842236321,0.15329730891860183,-6733270688564765.0,1.1662366933708452e+16,-2720415363202390.5,5440830726404781.0,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Polynomial Linear Regression,"['congestion_surcharge', 'total_amount']",0.9884677152437824,0.17394511261432044,0.15198971637121605,0.13649814430263307,0.058198129108133656,0.056132236284901646,0.20652678321687307,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",1.012168556330976,0.140860771866947,0.11083609693707008,0.10509510203432237,0.04537828383581017,0.016844245744445936,0.23472107070606973,"test_size = 0.2, Degree = 2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",1.012397006281152,0.14014922216471104,0.11043467689375253,0.10457841641257987,0.04531774081194369,0.016585729482632795,0.2337938338803971,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",1.0128326499545088,0.1397232930552652,0.10966893601888561,0.1049267987857338,0.04456636100890627,0.017388048744698015,0.23168217539366712,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Polynomial Linear Regression,"['congestion_surcharge', 'total_amount']",1.0130605833875324,0.1390088328144593,0.10926816092362945,0.10440851695672931,0.04451195382280981,0.01716509630077003,0.2306815240766281,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
15,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",1.0133144737555082,0.11574722604012777,0.108821639607108,0.06942230210923589,0.049888023648558315,-0.03634927790148066,0.2944848014845709,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
16,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",1.0140569637860228,0.11441591285360375,0.1075151676540651,0.06831632175877408,0.0497486885698809,-0.03713025284586977,0.29340596007033265,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
17,Polynomial Linear Regression,"['payment_type', 'total_amount']",1.019671240979609,0.10124605599998304,0.09760541297620906,0.06164317519141441,0.03662547777827669,-0.047946870815670596,0.2981455472613501,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
18,Polynomial Linear Regression,['total_amount'],1.0203742120112895,0.0999349750952635,0.09636074529455652,0.06051923245968133,0.036447010146085125,-0.04871154619801159,0.297008700135055,"test_size = 0.2, Degree = 3, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
19,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",1.0321919721637696,0.09040628064869383,0.07530801234052753,0.047120764299691364,0.04436078182122235,-0.06196558144546773,0.31117044901626234,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
20,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",1.0324039097240925,0.08985031294334078,0.0749282436755001,0.046745134361725366,0.04416471913665643,-0.06200378897585361,0.30994549738432536,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
21,Polynomial Linear Regression,"['payment_type', 'total_amount']",1.0366391177562804,0.080501910820163,0.06732287257064673,0.040379197164735287,0.0373412389520158,-0.07143839328308847,0.31550683561201714,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
22,Polynomial Linear Regression,['total_amount'],1.036848099494878,0.07993338784773663,0.06694678771905738,0.040001086373335715,0.037100063627884795,-0.07148205514833728,0.31425688430148796,"test_size = 0.2, Degree = 2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
23,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",1.0479527861226454,0.059045314281283456,0.046853683786194034,0.028138733047303216,0.04736377331719447,-0.024184161636163305,0.12384371600567481,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
24,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge']",1.048439307855863,0.057885677038668426,0.04596846443558589,0.02717862224489634,0.04761002444526403,-0.02459874612560393,0.12222951420151405,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
25,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",1.0488908519727698,0.05753596194752131,0.04514651872979292,0.026684316063383173,0.046796571399841454,-0.025299114911542953,0.12235190571647361,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
26,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge']",1.0493789138013347,0.05638541642930528,0.044257701825004214,0.02568404773081545,0.04704253957335398,-0.02574743782424267,0.12073861879726888,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
27,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",1.049906876092545,0.055072033828757694,0.04329575600589042,0.02435214751512141,0.04651136510817117,-0.026771662598450385,0.11953574292289464,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
28,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge']",1.0503991667817612,0.053912815666111835,0.042398367827084504,0.023329039193404344,0.046757256834325765,-0.027245680872439372,0.11792249560954371,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
29,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge']",1.0519459995741849,0.051243653329593575,0.03957593553991423,-1.4996286965939186e+16,2.5974330949889596e+16,-7062897393974862.0,1.4125794787949724e+16,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
30,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge']",1.051946174185649,0.051243558559102786,0.039575616700228244,-5.15686698692109e+16,8.931955629221957e+16,-3.962218003047544e+16,7.924436006095088e+16,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
31,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge']",1.0519486749924973,0.051237977037588145,0.03957105023325724,0.021775010572128217,0.04754316260614419,-0.025244885661299878,0.10766314530218181,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
32,Polynomial Linear Regression,['congestion_surcharge'],1.052423005280635,0.050057693220999955,0.038704728027867286,0.020750123581120855,0.047765150702204114,-0.02572269043858344,0.10649585945082447,"test_size = 0.2, Degree = 4, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
33,Polynomial Linear Regression,['congestion_surcharge'],1.0524230741609382,0.050057687264394524,0.038704602195741344,0.02075110809981956,0.04776162856529545,-0.025693200634623083,0.10644577172661052,"test_size = 0.2, Degree = 2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
34,Polynomial Linear Regression,['congestion_surcharge'],1.0524231032837597,0.05005768285334944,0.03870454899349751,0.020751905330074177,0.047764278853399705,-0.025728418727204928,0.10649811454549578,"test_size = 0.2, Degree = 3, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
35,Polynomial Linear Regression,"['DOLocationID', 'payment_type']",1.065365935266128,0.01834839919606246,0.014914893660255446,-0.01151197816118496,0.02646958231800933,-0.08017313619207103,0.16835096174129469,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
36,Polynomial Linear Regression,"['DOLocationID', 'payment_type']",1.06538224075867,0.01833868761489954,0.014884739850676287,-0.011499759420593947,0.02647941160705881,-0.0796989725096185,0.16736551969556177,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
37,Polynomial Linear Regression,"['DOLocationID', 'payment_type']",1.065458131681022,0.018163197887608562,0.01474438840570047,-0.011527214425095772,0.026397277051502244,-0.07869091085443294,0.16475140971814042,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
38,Polynomial Linear Regression,['DOLocationID'],1.0659556235733905,0.017067060240686382,0.013824087367187876,-0.012632770552198386,0.026284638226025694,-0.08069052437303041,0.1661954091828222,"test_size = 0.2, Degree = 4, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
