,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Multiple Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount', 'total_amount']",0.6695041379915585,0.5594250735768002,0.5512518418886816,0.43966216535354585,0.21470342185574065,0.45442720698959904,0.23040608149752403,"test_size = 0.2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Multiple Linear Regression,"['trip_distance', 'fare_amount', 'total_amount']",0.6695680257644242,0.5594078803271263,0.5511661937599424,0.43978772046994685,0.21470263674822346,0.4544513538075986,0.23045998836904616,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Multiple Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.6742678426625089,0.5532429445443972,0.544843191821375,0.42942591813718456,0.22130552659107508,0.4448887525011703,0.23845454001245572,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Multiple Linear Regression,"['fare_amount', 'total_amount']",0.6742837523307649,0.5532412079260186,0.5448217122881793,0.4297165978946163,0.22116464077347273,0.4450387670450011,0.2383741966344388,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Multiple Linear Regression,"['DOLocationID', 'trip_distance', 'total_amount']",0.7519533913885723,0.44336296194667746,0.43391976357231987,0.2590798580390479,0.3169056775477934,0.26950273013336445,0.3699327643247768,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Multiple Linear Regression,"['trip_distance', 'total_amount']",0.7536694813282296,0.44157899308719484,0.4313330258471989,0.254738974724622,0.3199554107895342,0.2653843281707358,0.3739476030862981,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Multiple Linear Regression,"['DOLocationID', 'total_amount']",0.7782043243259917,0.40455814621170205,0.3937057808619254,0.2298504186498408,0.2802466540247642,0.25302370947130215,0.30646328839386,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Simple Linear Regression,['total_amount'],0.7797639852230452,0.40278704276092503,0.39127310104908974,0.2254340751308126,0.2829505228980592,0.24911153223888505,0.3096856710102511,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Multiple Linear Regression,"['DOLocationID', 'fare_amount']",0.8449250423316238,0.29641798484600723,0.285285633196917,0.1402943322861648,0.24127974385525042,0.1610125752427698,0.2628764141686445,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Multiple Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount']",0.8449288699902442,0.29642311479951977,0.28527915761940015,0.13203036442545174,0.249541435917941,0.1554475411556436,0.2716123691433288,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Multiple Linear Regression,"['trip_distance', 'fare_amount']",0.8482048435207168,0.29202328612131634,0.279726156138166,0.12357266398313088,0.2525122446836603,0.14827195141190547,0.2746667991269921,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Simple Linear Regression,['fare_amount'],0.8482155278946316,0.2919873700967941,0.279708010230142,0.13203209576766284,0.2446687000573987,0.15358887357948037,0.2667635665511258,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Multiple Linear Regression,"['DOLocationID', 'trip_distance']",0.8698005189561313,0.25364331928995265,0.2425822601361698,0.10331337491288178,0.21473248706418296,0.12977822642116849,0.23216126743746207,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Simple Linear Regression,['trip_distance'],0.8726566546329934,0.24961311867840075,0.23759987730048393,0.09552363114254467,0.21711133050433565,0.12340805623135961,0.2343243172482817,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Simple Linear Regression,['DOLocationID'],0.991227295161173,0.013978465399407392,0.01634534164347956,-0.01650294797382071,0.024120167788535325,-0.012393747258311907,0.03314220978665434,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
