,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Polynomial Linear Regression,"['trip_distance', 'fare_amount', 'total_amount']",0.5815052025950772,0.6766369186301479,0.6614651703375242,0.5833057617229691,0.15642669777530388,0.4669370170191257,0.33582971879366025,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount', 'total_amount']",0.584684852537615,0.6645446738483813,0.6577528555849683,0.5796281611284029,0.14943025692493256,0.5789341256428676,0.1666496336210028,"test_size = 0.2, Degree = 3, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Polynomial Linear Regression,"['trip_distance', 'fare_amount', 'total_amount']",0.5882537389171762,0.6585951530877949,0.6535619860114124,0.5773353467369918,0.14674786506669202,0.5739521975182077,0.16652922074320364,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount', 'total_amount']",0.5906675221162778,0.6850574123349683,0.6507130728740307,0.5322140171611149,0.23671939630259242,0.5802725117211638,0.17318005080410145,"test_size = 0.2, Degree = 4, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Polynomial Linear Regression,"['fare_amount', 'total_amount']",0.6023099309455945,0.6462195959585164,0.6368080653165412,0.5527434462005594,0.16249276284071187,0.5574325353615059,0.17930311030288837,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Polynomial Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.6071735463309804,0.6404511281585883,0.6309188787697408,0.54845885641488,0.16118966715193744,0.5589932911022387,0.1688923466308041,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Polynomial Linear Regression,"['fare_amount', 'total_amount']",0.6119788473001629,0.6347347624409785,0.625053788004544,0.5441395015311671,0.1604481488425364,0.5537286146881217,0.1710079197550907,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount', 'total_amount']",0.6150319690855577,0.6269254367965225,0.6213032923455314,0.542693702097262,0.1515008256852413,0.5523448931928303,0.15893668078289894,"test_size = 0.2, Degree = 2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Polynomial Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.6155677355476323,0.6555839214259687,0.6206432246498528,0.5582120291229247,0.1520672123038821,0.553096220415847,0.1755120731059684,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Polynomial Linear Regression,"['trip_distance', 'fare_amount', 'total_amount']",0.6165291087274387,0.6244237470286809,0.6194573658104281,0.5406884555645675,0.1508248334408592,0.550769987004057,0.15777108744311882,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Polynomial Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.6218348251175773,0.6185125424594939,0.6128794475178636,0.5308058919200646,0.15884173180019562,0.539461884012501,0.16735276192145784,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Polynomial Linear Regression,"['fare_amount', 'total_amount']",0.6231166445186699,0.6162107935998031,0.6112818204475099,0.5287344550364932,0.15835509540994117,0.537996168238338,0.16643000606293964,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'total_amount']",0.6975302011506741,0.5288581464149315,0.5128954569777198,0.37373738971427367,0.2751874489083071,0.37548832863817205,0.329035882149209,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'total_amount']",0.7018538369889321,0.5195455180417106,0.506838113904456,0.3635148798908243,0.2793415505342724,0.36276499304699356,0.33911736041618756,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Polynomial Linear Regression,"['trip_distance', 'total_amount']",0.7095586656148404,0.5115342813036023,0.49595099185871894,0.33444832333565067,0.29807791179145215,0.343207536757724,0.35752221804248896,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
15,Polynomial Linear Regression,"['trip_distance', 'total_amount']",0.7133948119702603,0.506812065433111,0.4904860944040891,0.3380546864188257,0.293421498621607,0.3390975623983891,0.35707619396574986,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
16,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'total_amount']",0.7179968730681756,0.4938504219879273,0.4838912125742244,0.33567710807490286,0.28316006490087253,0.3387622356617902,0.3363026090312338,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
17,Polynomial Linear Regression,"['trip_distance', 'total_amount']",0.7232624854649978,0.48735288428118495,0.4762934245000531,0.3221858061701077,0.2929280107490093,0.326125462461021,0.3487303274730213,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
18,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",0.7347368418176883,0.4733568609372608,0.45954469745756477,0.35105054048235784,0.200683805035229,0.3631769525104474,0.22071952439206033,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
19,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",0.7415536410099063,0.46028737793477126,0.4494696182604506,0.331465808007512,0.20294609500606417,0.34815205150447215,0.21972950640333852,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
20,Polynomial Linear Regression,['total_amount'],0.7493024333221067,0.4508795290929404,0.43790407898370665,0.32031453839073587,0.20162784861646868,0.3385324910540021,0.21902349931676257,"test_size = 0.2, Degree = 4, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
21,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",0.7516002067225382,0.44753066442851563,0.4344514026574561,0.3164777088352009,0.21459295230923991,0.3318068156234654,0.23094639333368283,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
22,Polynomial Linear Regression,['total_amount'],0.7537559801081818,0.4424933217266892,0.4312024863377798,0.30381048020725787,0.20962224548429037,0.3238496840557067,0.22652120655719832,"test_size = 0.2, Degree = 3, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
23,Polynomial Linear Regression,['total_amount'],0.7574123802285643,0.43890029595049185,0.42567073417274326,0.30088222271288817,0.22036598034146881,0.318636509909219,0.23709222793876805,"test_size = 0.2, Degree = 2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
24,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount']",0.8011612399014542,0.3777570055720687,0.3574069740412552,0.23919883266470088,0.2172382084226312,0.24981503741147976,0.24379689598331003,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
25,Polynomial Linear Regression,"['DOLocationID', 'fare_amount']",0.8074832413050402,0.3676547743856262,0.3472254964643898,0.2519180514907026,0.1859414588629557,0.26184539163228754,0.2081583106432728,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
