DOLocationID,payment_type,congestion_surcharge,total_amount,tip_amount
69,2.0,0.0,15.3,0.0
235,2.0,0.0,27.3,0.0
220,1.0,0.0,30.12,6.02
159,2.0,0.0,12.3,0.0
78,2.0,0.0,13.8,0.0
254,1.0,0.0,33.3,0.0
51,1.0,0.0,33.12,0.0
182,1.0,0.0,16.3,0.0
136,2.0,0.0,15.0,0.0
69,2.0,0.0,7.8,0.0
126,2.0,0.0,16.3,0.0
235,2.0,0.0,17.3,0.0
168,1.0,0.0,26.42,0.0
168,1.0,0.0,13.11,1.86
3,2.0,0.0,21.3,0.0
119,2.0,0.0,13.8,0.0
168,2.0,0.0,13.3,0.0
168,2.0,0.0,5.8,0.0
247,2.0,0.0,9.8,0.0
167,1.0,0.0,14.3,1.0
168,1.0,0.0,5.76,0.96
213,2.0,0.0,20.3,0.0
168,1.0,0.0,39.12,0.0
167,2.0,0.0,17.3,0.0
126,1.0,0.0,18.8,0.0
208,2.0,0.0,56.42,0.0
185,2.0,0.0,29.3,0.0
213,1.0,0.0,23.0,0.0
119,2.0,0.0,12.3,0.0
259,1.0,0.0,9.8,0.0
169,1.0,0.0,11.8,0.0
51,1.0,0.0,30.8,0.0
254,1.0,0.0,13.3,0.0
242,1.0,0.0,17.15,2.85
168,2.0,0.0,9.3,0.0
212,2.0,0.0,19.8,0.0
147,2.0,0.0,19.3,0.0
168,2.0,0.0,11.3,0.0
81,2.0,0.0,8.0,0.0
147,2.0,0.0,21.3,0.0
254,1.0,0.0,29.0,0.0
168,1.0,0.0,10.56,1.76
169,1.0,0.0,18.3,0.0
147,2.0,0.0,18.8,0.0
235,2.0,0.0,4.8,0.0
242,2.0,0.0,19.3,0.0
20,2.0,0.0,11.3,0.0
136,1.0,0.0,7.8,0.0
78,1.0,0.0,21.7,3.95
47,1.0,0.0,13.3,0.0
235,2.0,0.0,18.8,0.0
241,2.0,0.0,10.3,0.0
119,2.0,0.0,9.3,0.0
119,2.0,0.0,27.3,0.0
168,1.0,0.0,11.3,2.0
119,2.0,0.0,12.3,0.0
235,1.0,0.0,9.36,1.56
69,2.0,0.0,17.8,0.0
182,2.0,0.0,24.3,0.0
78,2.0,0.0,10.8,0.0
168,1.0,0.0,10.56,1.76
241,2.0,0.0,24.3,0.0
167,2.0,0.0,8.3,0.0
51,1.0,0.0,9.8,0.0
18,1.0,0.0,19.8,0.0
182,2.0,0.0,33.42,0.0
235,2.0,0.0,18.3,0.0
159,1.0,0.0,13.57,1.77
136,1.0,0.0,29.12,5.82
51,2.0,0.0,29.3,0.0
200,1.0,0.0,71.42,0.0
159,3.0,0.0,15.3,0.0
208,1.0,0.0,12.24,0.49
51,1.0,0.0,27.0,0.0
248,2.0,0.0,17.8,0.0
60,2.0,0.0,11.3,0.0
