DOLocationID,payment_type,congestion_surcharge,total_amount,tip_amount
1,1.0,2.75,70.05,3.0
1,1.0,0.0,97.8,5.0
1,2.0,0.0,101.3,0.0
1,1.0,0.0,106.92,10.0
1,1.0,2.75,100.55,30.0
1,1.0,0.0,109.3,7.0
1,2.0,0.0,102.3,0.0
1,1.0,2.75,105.66,17.61
1,2.0,0.0,100.8,0.0
1,1.0,0.0,109.04,0.0
1,2.0,2.75,142.05,0.0
1,1.0,0.0,127.1,21.18
1,1.0,0.0,97.95,19.2
1,1.0,0.0,109.12,21.82
1,1.0,0.0,83.16,13.86
1,1.0,0.0,110.45,18.41
1,1.0,0.0,116.16,19.36
1,1.0,2.75,150.66,25.11
1,1.0,0.0,123.25,24.26
1,2.0,0.0,99.55,0.0
1,1.0,0.0,145.0,33.46
1,2.0,0.0,97.3,0.0
1,1.0,0.0,112.3,15.0
1,1.0,0.0,133.19,26.64
1,2.0,2.75,35.55,0.0
1,1.0,0.0,96.05,7.0
1,1.0,0.0,129.8,21.63
1,2.0,0.0,105.05,0.0
1,1.0,0.0,95.01,15.51
1,1.0,0.0,129.66,21.61
1,1.0,0.0,117.66,19.61
1,1.0,0.0,102.67,5.0
1,2.0,0.0,79.55,0.0
1,1.0,0.0,117.66,19.61
1,1.0,0.0,114.66,19.11
1,1.0,2.75,69.51,11.26
1,1.0,2.75,81.62,16.32
1,1.0,0.0,125.69,25.14
1,1.0,0.0,112.86,18.81
1,1.0,0.0,116.46,19.41
1,1.0,0.0,115.26,19.21
1,1.0,0.0,87.06,14.51
1,1.0,0.0,95.05,19.0
1,1.0,0.0,121.86,20.31
1,1.0,0.0,102.05,10.0
1,1.0,2.75,80.31,12.56
1,1.0,2.75,83.59,19.29
1,1.0,0.0,120.06,20.01
1,1.0,0.0,101.55,12.0
1,1.0,0.0,120.06,20.01
1,1.0,0.0,109.55,3.0
1,1.0,2.75,80.8,0.0
1,1.0,0.0,108.2,18.03
1,1.0,0.0,119.46,19.91
1,1.0,0.0,122.81,19.56
1,1.0,0.0,76.55,0.0
1,2.0,0.0,108.95,0.0
1,1.0,0.0,85.59,7.6
1,1.0,0.0,120.66,20.11
1,1.0,2.75,108.94,25.14
1,1.0,0.0,124.26,20.71
1,1.0,0.0,118.15,23.6
1,1.0,2.75,149.16,24.86
1,1.0,2.75,62.05,1.5
1,1.0,0.0,125.01,20.01
1,1.0,0.0,129.06,21.51
1,1.0,0.0,101.55,0.0
1,1.0,0.0,125.04,0.0
1,1.0,0.0,88.55,10.0
1,1.0,0.0,121.86,20.31
1,1.0,0.0,140.75,23.46
1,1.0,0.0,125.06,25.01
1,1.0,0.0,84.55,10.0
1,1.0,0.0,105.55,5.0
1,1.0,0.0,110.05,20.0
1,1.0,0.0,127.26,21.21
1,2.0,0.0,150.92,0.0
1,2.0,0.0,77.05,0.0
1,1.0,0.0,93.8,13.0
1,1.0,0.0,139.26,23.21
1,1.0,0.0,101.31,20.26
1,1.0,2.75,103.05,14.0
1,1.0,0.0,106.26,17.71
1,1.0,0.0,99.66,16.61
1,2.0,0.0,126.55,0.0
1,1.0,0.0,100.05,0.0
1,1.0,2.75,123.66,20.61
1,1.0,2.75,61.25,10.2
1,1.0,0.0,84.3,0.0
1,2.0,0.0,82.55,0.0
1,1.0,0.0,89.55,5.0
1,1.0,0.0,110.05,15.0
1,1.0,0.0,120.05,13.0
1,1.0,0.0,114.55,5.0
1,2.0,0.0,103.55,0.0
1,2.0,2.75,91.3,0.0
1,1.0,0.0,107.65,17.9
1,2.0,0.0,109.05,0.0
1,1.0,2.75,85.55,14.25
1,1.0,0.0,123.35,20.56
1,1.0,0.0,135.66,22.61
1,2.0,0.0,84.05,0.0
1,1.0,0.0,120.35,20.06
1,1.0,2.75,79.56,13.26
1,1.0,0.0,103.86,17.31
1,1.0,2.75,178.86,29.81
1,1.0,0.0,109.86,18.31
1,1.0,0.0,118.05,16.0
1,1.0,2.75,79.11,12.86
1,1.0,2.75,84.87,0.0
1,1.0,0.0,108.05,18.01
1,2.0,0.0,77.55,0.0
1,1.0,0.0,108.36,18.06
1,1.0,2.75,62.96,7.96
1,2.0,0.0,101.05,0.0
1,1.0,0.0,110.06,22.01
1,2.0,0.0,103.3,0.0
1,1.0,0.0,115.05,15.0
1,1.0,0.0,103.19,20.64
1,1.0,0.0,114.55,15.0
1,3.0,0.0,97.25,0.0
1,1.0,0.0,137.46,22.91
1,2.0,0.0,102.05,0.0
1,1.0,0.0,85.0,0.0
1,1.0,2.75,116.62,23.32
1,1.0,0.0,94.26,15.71
1,1.0,0.0,123.06,20.51
1,1.0,0.0,125.3,0.0
1,1.0,0.0,125.55,7.0
1,1.0,0.0,95.55,5.0
1,1.0,0.0,124.86,20.81
1,1.0,0.0,88.56,14.76
1,1.0,0.0,87.6,5.6
1,2.0,0.0,104.05,0.0
1,1.0,0.0,85.55,8.0
1,2.0,0.0,95.05,0.0
1,2.0,0.0,102.05,0.0
1,1.0,0.0,123.17,10.0
1,2.0,2.75,67.8,0.0
1,1.0,0.0,125.4,10.0
1,1.0,0.0,102.05,12.0
1,1.0,0.0,157.25,26.2
1,1.0,0.0,140.06,28.01
1,1.0,2.75,142.71,23.46
1,1.0,0.0,114.05,0.0
1,1.0,0.0,131.05,15.0
1,1.0,0.0,135.55,23.5
1,1.0,0.0,117.55,15.0
1,1.0,2.75,93.51,15.26
1,1.0,0.0,100.05,12.0
1,1.0,0.0,103.19,20.64
1,1.0,0.0,112.3,10.0
1,2.0,0.0,91.95,0.0
1,1.0,2.75,148.31,21.56
1,1.0,2.75,102.96,17.16
1,1.0,0.0,164.46,27.41
1,1.0,0.0,143.55,40.0
1,1.0,0.0,90.66,15.11
1,1.0,0.0,90.36,15.06
1,1.0,0.0,90.05,5.0
