DOLocationID,payment_type,congestion_surcharge,total_amount,tip_amount
206,1.0,0.0,64.45,8.41
156,1.0,0.0,95.54,0.0
23,2.0,0.0,54.04,0.0
221,2.0,0.0,46.54,0.0
187,1.0,0.0,71.3,14.26
156,1.0,0.0,84.04,0.0
156,2.0,0.0,100.3,0.0
109,1.0,0.0,65.04,0.0
214,1.0,0.0,71.0,11.51
206,1.0,0.0,20.8,0.0
115,1.0,0.0,47.24,0.0
115,1.0,0.0,73.04,0.0
156,1.0,0.0,94.54,0.0
156,1.0,0.0,94.04,0.0
206,1.0,0.0,87.54,0.0
115,1.0,0.0,73.54,0.0
23,1.0,0.0,24.36,4.06
156,2.0,0.0,7.3,0.0
23,2.0,0.0,39.54,0.0
214,1.0,0.0,41.92,8.38
251,1.0,0.0,10.8,0.0
156,1.0,0.0,70.54,0.0
221,2.0,0.0,52.54,0.0
187,2.0,0.0,102.3,0.0
251,1.0,0.0,75.45,17.41
221,2.0,0.0,44.54,0.0
221,1.0,0.0,35.0,0.0
206,1.0,0.0,21.8,0.0
156,1.0,0.0,93.04,0.0
214,2.0,0.0,21.3,0.0
206,1.0,0.0,84.04,0.0
115,1.0,0.0,78.54,0.0
109,1.0,0.0,121.25,20.21
156,1.0,0.0,20.25,0.0
156,1.0,0.0,95.04,0.0
156,2.0,0.0,52.8,0.0
23,2.0,0.0,69.04,0.0
221,1.0,0.0,10.56,1.76
206,1.0,0.0,43.24,0.0
204,1.0,0.0,128.66,0.0
23,2.0,0.0,80.04,0.0
156,2.0,0.0,4.8,0.0
115,2.0,0.0,11.8,0.0
206,1.0,0.0,11.16,1.86
156,1.0,0.0,97.54,0.0
187,2.0,0.0,16.3,0.0
156,1.0,0.0,95.04,0.0
251,2.0,0.0,33.04,0.0
221,1.0,0.0,70.68,14.14
156,1.0,0.0,95.04,0.0
156,1.0,0.0,95.54,0.0
118,2.0,0.0,36.8,0.0
6,1.0,0.0,32.49,0.0
156,2.0,0.0,6.8,0.0
23,2.0,0.0,78.04,0.0
251,1.0,0.0,10.3,0.0
118,2.0,0.0,80.0,0.0
206,2.0,0.0,5.3,0.0
221,2.0,0.0,10.3,0.0
115,2.0,0.0,92.54,0.0
245,1.0,0.0,56.54,7.0
23,2.0,0.0,27.8,0.0
176,1.0,2.75,103.49,20.7
187,2.0,0.0,117.3,0.0
115,1.0,0.0,75.54,0.0
118,1.0,0.0,46.54,0.0
115,1.0,0.0,79.54,0.0
206,2.0,0.0,48.54,0.0
6,1.0,2.75,85.05,0.0
115,1.0,0.0,53.92,4.88
172,1.0,0.0,66.35,15.31
221,2.0,0.0,29.8,0.0
23,1.0,0.0,104.04,10.0
118,1.0,0.0,99.16,0.0
187,2.0,0.0,11.8,0.0
187,2.0,0.0,3.3,0.0
156,1.0,0.0,8.3,0.0
156,1.0,0.0,99.04,0.0
23,1.0,0.0,95.42,0.0
6,2.0,0.0,13.3,0.0
156,2.0,0.0,4.3,0.0
245,1.0,0.0,57.65,9.61
115,1.0,0.0,43.54,0.0
187,2.0,0.0,83.05,0.0
156,1.0,0.0,92.04,0.0
156,2.0,0.0,4.3,0.0
23,1.0,0.0,23.0,0.0
221,1.0,0.0,40.54,0.0
251,1.0,0.0,56.54,0.0
245,1.0,0.0,62.54,14.0
156,1.0,0.0,58.04,0.0
115,2.0,0.0,4.3,0.0
206,1.0,0.0,30.3,0.0
156,1.0,0.0,22.3,0.0
156,2.0,0.0,4.3,0.0
156,1.0,0.0,14.3,0.0
251,1.0,0.0,64.71,6.72
206,1.0,0.0,63.54,0.0
221,2.0,0.0,75.3,0.0
251,1.0,0.0,66.95,6.96
23,2.0,0.0,72.04,0.0
156,1.0,0.0,95.04,0.0
23,2.0,0.0,70.3,0.0
156,1.0,0.0,3.8,0.0
156,1.0,0.0,3.8,0.0
156,1.0,0.0,3.8,0.0
156,1.0,0.0,15.3,0.0
156,1.0,0.0,95.04,0.0
156,1.0,0.0,97.04,0.0
23,1.0,0.0,55.04,0.0
156,1.0,0.0,3.8,0.0
156,2.0,0.0,3.8,0.0
156,1.0,0.0,3.8,0.0
156,2.0,0.0,3.3,0.0
156,2.0,0.0,3.3,0.0
156,2.0,0.0,3.8,0.0
23,1.0,0.0,141.04,23.5
214,1.0,0.0,65.3,0.0
115,1.0,0.0,37.04,0.0
214,1.0,0.0,79.24,0.0
156,1.0,0.0,60.54,0.0
251,2.0,0.0,48.54,0.0
214,1.0,0.0,40.05,8.01
156,1.0,0.0,3.8,0.0
156,2.0,0.0,3.3,0.0
118,1.0,0.0,49.54,0.0
156,1.0,0.0,3.8,0.0
156,1.0,0.0,94.8,0.0
187,1.0,0.0,20.3,0.0
156,1.0,0.0,3.8,0.0
115,1.0,0.0,87.54,0.0
245,2.0,0.0,57.54,0.0
118,1.0,0.0,52.54,0.0
221,2.0,2.75,93.41,0.0
204,1.0,0.0,84.54,0.0
115,1.0,0.0,49.2,0.0
115,1.0,0.0,39.98,0.0
214,1.0,0.0,36.0,0.0
214,1.0,0.0,32.58,0.0
156,1.0,0.0,101.25,0.0
156,1.0,0.0,93.77,0.0
206,1.0,0.0,43.0,0.0
206,1.0,0.0,35.99,0.0
172,1.0,0.0,78.5,0.0
172,1.0,0.0,68.4,0.0
187,1.0,0.0,65.4,0.0
187,1.0,0.0,54.66,0.0
206,1.0,0.0,46.5,0.0
206,1.0,0.0,39.17,0.0
115,1.0,0.0,112.25,0.0
115,1.0,0.0,98.9,0.0
206,1.0,0.0,104.0,0.0
206,1.0,0.0,104.84,0.0
23,1.0,0.0,62.7,0.0
23,1.0,0.0,53.56,0.0
115,1.0,0.0,40.73,0.0
115,1.0,0.0,49.2,0.0
214,1.0,0.0,29.74,0.0
214,1.0,0.0,32.5,0.0
214,1.0,0.0,81.0,0.0
214,1.0,0.0,82.72,0.0
115,1.0,0.0,35.2,0.0
115,1.0,0.0,39.5,0.0
214,1.0,0.0,81.0,0.0
214,1.0,0.0,81.34,0.0
214,1.0,0.0,37.07,0.0
214,1.0,0.0,43.0,0.0
5,1.0,0.0,92.64,0.0
23,1.0,0.0,44.64,0.0
23,1.0,0.0,51.9,0.0
221,1.0,0.0,71.45,0.0
221,1.0,0.0,81.0,0.0
206,1.0,0.0,111.63,0.0
206,1.0,0.0,117.75,0.0
6,1.0,0.0,38.84,0.0
6,1.0,0.0,43.0,0.0
156,1.0,0.0,46.08,0.0
156,1.0,0.0,51.9,0.0
251,1.0,0.0,53.03,0.0
251,1.0,0.0,57.3,0.0
221,1.0,0.0,44.26,0.0
221,1.0,0.0,54.6,0.0
245,1.0,0.0,43.82,0.0
245,1.0,0.0,51.9,0.0
251,1.0,0.0,42.99,0.0
251,1.0,0.0,51.9,0.0
245,1.0,0.0,96.88,0.0
245,1.0,0.0,109.5,0.0
214,1.0,0.0,69.33,0.0
214,1.0,0.0,76.0,0.0
221,1.0,0.0,42.98,0.0
221,1.0,0.0,51.9,0.0
156,1.0,0.0,54.83,0.0
156,1.0,0.0,62.7,0.0
176,1.0,0.0,78.37,0.0
176,1.0,0.0,81.0,0.0
214,1.0,0.0,81.0,0.0
156,1.0,0.0,104.0,0.0
172,1.0,0.0,83.5,0.0
214,1.0,0.0,81.0,0.0
23,1.0,0.0,60.0,0.0
115,1.0,0.0,49.2,0.0
176,1.0,0.0,54.6,0.0
115,1.0,0.0,51.9,0.0
156,1.0,0.0,65.4,0.0
221,1.0,0.0,68.1,0.0
23,1.0,0.0,54.6,0.0
204,1.0,0.0,117.75,0.0
214,1.0,0.0,81.0,0.0
245,1.0,0.0,83.5,0.0
23,1.0,0.0,68.1,0.0
251,1.0,0.0,68.1,0.0
206,1.0,0.0,70.8,0.0
187,1.0,0.0,65.4,0.0
115,1.0,0.0,60.0,0.0
23,1.0,0.0,39.5,0.0
115,1.0,0.0,51.9,0.0
156,1.0,0.0,78.5,0.0
221,1.0,0.0,88.5,0.0
