,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.7320393926492175,0.025667627408854643,0.03985972506969648,-0.06578461765132962,0.12438787318691318,-0.13984303056594483,0.18650981212313222,"test_size = 0.2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.7320674929901194,0.025634654560985126,0.03978601103969326,-0.06579560767697393,0.12444914126164229,-0.13984196668602464,0.18656372867120086,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Multiple Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.7337173920571592,0.022951347457948024,0.03545296404467757,-0.06926232429145662,0.12310926833153356,-0.14378968587760138,0.1864916295544709,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Multiple Linear Regression,"['congestion_surcharge', 'total_amount']",0.7337453795217966,0.02291788950199758,0.03537937783501399,-0.0692763594736549,0.12317215541947218,-0.14379075464430174,0.18654601986973982,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",0.7376376746073334,0.01541984667937435,0.025118198184463703,-0.07526344780069255,0.13991617258396086,-0.12156189630952116,0.20308823387981426,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge']",0.7377425835820267,0.015245402788273243,0.02484087741672436,-0.07545989667393468,0.14020410629553398,-0.12157462009238222,0.2034380876116011,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.7382147203171597,0.01573479334109318,0.023592323301658058,-0.0755667516615369,0.10852198819171095,-0.15616710083856536,0.1749419373341687,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Multiple Linear Regression,"['DOLocationID', 'total_amount']",0.7382401977022207,0.01570553385705664,0.023524926261369816,-0.07556706575287928,0.1085740441802067,-0.1561543954035989,0.17498166778624835,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Multiple Linear Regression,"['payment_type', 'congestion_surcharge']",0.739680361808537,0.012037255406809555,0.019711381426141372,-0.07954670469071484,0.13964714844598594,-0.12495278215819047,0.20406346468871508,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Simple Linear Regression,['congestion_surcharge'],0.7397882263414313,0.011854823524202196,0.019425457697192394,-0.07975969632889687,0.1399456600118509,-0.12497361749419518,0.2044291336839925,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Multiple Linear Regression,"['payment_type', 'total_amount']",0.7399659458821864,0.012991612345185644,0.018954273692729173,-0.07905908738169967,0.10718863945887372,-0.16015964352067533,0.1749646596471242,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Simple Linear Regression,['total_amount'],0.7399913129253671,0.01296189843868889,0.018887009365209817,-0.0790626641869698,0.10724284613426406,-0.16014913142676665,0.17500493379047807,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Multiple Linear Regression,"['DOLocationID', 'payment_type']",0.7448164614713422,0.003668371763892453,0.006050507030097241,-0.08827331480958317,0.12494905027716445,-0.13935616940140577,0.1876214772180689,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Simple Linear Regression,['DOLocationID'],0.7449249240892112,0.0034859823276613966,0.005761001576948477,-0.08848631337161605,0.12525315137498036,-0.139381277859078,0.18796171477641524,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Simple Linear Regression,['payment_type'],0.7469826412979312,0.00019070427380640798,0.0002606127756635823,-0.09268043187679575,0.12463475509634038,-0.1428376398409914,0.18839139271651073,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
