,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.7157435854445502,0.0531193017488083,0.08213097866577801,-0.03691366709931565,0.1524964674121622,-0.10600356457759064,0.20708477888802204,"test_size = 0.2, Degree = 2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.71576499776238,0.05294244193653941,0.08207605956460118,-0.03700093214304381,0.15251446346876335,-0.10603287455895818,0.20715107034159871,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.7201047115409388,0.09214767315756289,0.07091149205366631,-0.04345001590351877,0.19636354307733977,-0.09681710434330501,0.24169960143927782,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.7203083054002841,0.04570482303743695,0.07038605887169558,-0.044659892222757624,0.14715153426452382,-0.1131485377699876,0.2041227723175131,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Polynomial Linear Regression,"['congestion_surcharge', 'total_amount']",0.7203358735598677,0.045528572653708355,0.07031489979797756,-0.044781243107716084,0.14722621484885168,-0.11315810544410394,0.20410264659907815,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.720468640454598,0.09281021144223167,0.06997216307380139,-0.043933220919245064,0.19694768998600598,-0.09716846135443968,0.2420605822615376,"test_size = 0.2, Degree = 3, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",0.7240525408929167,0.03370045704319602,0.06069648571175568,-0.05302008381726231,0.1501821138162444,-0.09752997347262779,0.21274463224882575,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge']",0.7241659278157356,0.033506873141018745,0.06040227205071602,-0.053241979675571455,0.15046356098895128,-0.09755701366626479,0.21311724336627,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Polynomial Linear Regression,"['congestion_surcharge', 'total_amount']",0.7255235321350968,0.08005462532275298,0.056876014933213925,-0.046730217604264296,0.17360994047523257,-0.09782463835751742,0.22435022477966446,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.7258013490368662,0.08070525600558742,0.05615359605264758,-0.04709843151560822,0.17406831872033524,-0.09842182431192721,0.2244173396326024,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",0.726406942329229,0.031310198138174705,0.05457788801054397,-0.05487180493505589,0.14726027035810096,-0.10018687883669256,0.20966237306118424,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge']",0.7265197002715448,0.031118991886482705,0.0542843552270551,-0.05509227844109724,0.14754118958410412,-0.10021560098986734,0.21003178528990488,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",0.7303987396573275,0.026433025117622577,0.04415865157748877,-0.061085385400782066,0.14559724334928015,-0.10674768907359951,0.20816572671123953,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge']",0.7305108427846604,0.026242034178613594,0.04386521999938686,-0.061306511200451164,0.145887109474514,-0.10677586141578226,0.20853906154385365,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.7351731977806543,0.028192603995455978,0.03162155381520837,-0.06965929614453381,0.12936578858150494,-0.15229362575440336,0.19152884060905978,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
15,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",0.7352012746199916,0.027979195503384235,0.03154758614250719,-0.06976162510093711,0.12930187213221925,-0.15236626881705123,0.19151471311531895,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
