,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.812054068024497,0.035855194055814055,0.05562538937637174,0.01180559731545372,0.020872829992751585,-0.1496854294461558,0.2998155311184877,"test_size = 0.2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.8122855029625348,0.035482709575597404,0.05508702023810785,0.0113293977366761,0.02078182500056511,-0.15038800144827508,0.3002217668682895,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",0.817278356998959,0.02691836266374148,0.04343517616267034,0.013035286584761607,0.02814421440390128,-0.07179925971452675,0.12556332417885194,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge']",0.8177524654588669,0.026194152640014234,0.04232503537605414,0.012277979457358729,0.028232326682906463,-0.0715154732578523,0.1231322718670939,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.8181356273493647,0.027670838112013985,0.041427378610085164,0.0011103986242613217,0.0192583242331092,-0.1754766818022149,0.3366360346235062,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Multiple Linear Regression,"['DOLocationID', 'total_amount']",0.8183406654439135,0.027324336967090468,0.040946850624859144,0.0006719370777604206,0.01921525739501631,-0.17611572624397975,0.33699179532060486,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Multiple Linear Regression,"['DOLocationID', 'payment_type']",0.8253297981036893,0.01562607749967393,0.024495087612852684,-0.0003021307712691712,0.023733262882318567,-0.09170154671497077,0.14189331944933006,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Multiple Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.8253427899734678,0.01560717159265601,0.02446437569000759,-0.010217245586282425,0.014131033449736497,-0.1757414861868486,0.33798993859610915,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Multiple Linear Regression,"['congestion_surcharge', 'total_amount']",0.8255964657348845,0.015230484279430856,0.023864606051978154,-0.010704910168573833,0.014175590141674892,-0.17636596010826586,0.33829988910546077,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Simple Linear Regression,['DOLocationID'],0.8258107957456213,0.014874548078043892,0.02335771854718438,-0.001087005324790974,0.02384405981736513,-0.09140042917971558,0.13933771457204328,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Multiple Linear Regression,"['payment_type', 'congestion_surcharge']",0.8269175231439103,0.012587628313067811,0.020738229781838036,-0.001524443570615236,0.00728694689982792,-0.10263514475066171,0.18790413762570313,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Simple Linear Regression,['congestion_surcharge'],0.8273048052524775,0.012008859451606235,0.019820751647653845,-0.0021039867457872397,0.007215263809466461,-0.10199848090509663,0.1848016901170406,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Multiple Linear Regression,"['payment_type', 'total_amount']",0.8325466527828226,0.005456349284468365,0.007360465418911333,-0.023178169515658764,0.019831362069462843,-0.20583596440908583,0.38176151257024465,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Simple Linear Regression,['total_amount'],0.8327716068626357,0.0051085760843735395,0.006823970605221219,-0.023624240250773587,0.019944817592523575,-0.2063945143304365,0.3820257132892021,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Simple Linear Regression,['payment_type'],0.8352423964270144,0.0006005631108876308,0.0009218257965599719,-0.01569298852226536,0.0028417632040449144,-0.12462668503300786,0.20776233295731664,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
