,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.8090628425560822,0.04540804987896663,0.06256984002691224,0.01942889044624993,0.02369994867371935,-0.15598512111668655,0.32227543432509576,"test_size = 0.2, Degree = 2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.8093303736985246,0.044866238842981354,0.061949781329710074,0.018877484531480165,0.023582962297909613,-0.15603675700504957,0.3214032415016986,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",0.8162292147311409,0.02811569268985692,0.04588948915331281,0.014577251412931369,0.028235460546820513,-0.07038677782377105,0.12590051465675856,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",0.8163405648709523,0.027768697976353174,0.045629151533624235,0.014257658561606074,0.027892421828438006,-0.07047810303419548,0.12587523846528426,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",0.8164375383559196,0.027732568860477813,0.04540239772997934,0.0142036342849724,0.02792534102441779,-0.0702322877010835,0.12527262100817907,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge']",0.816788119796933,0.027306044661866036,0.04458240589883855,0.01370840884723315,0.02827090409461734,-0.0702415390453189,0.12353976652706346,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge']",0.8168884997631938,0.026967986465770588,0.044347557529495485,0.013398065002232729,0.027934541694923543,-0.0703374298794401,0.12353189652981136,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge']",0.8169793601959142,0.026935896735387876,0.04413495611945273,0.013350924261235131,0.02796440493098229,-0.07009221983439644,0.1229515311064949,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.818213001146785,0.15487348436451542,0.04124605925784952,0.09837860404645321,0.051166731691885965,-0.1364125896767439,0.3750364252024629,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.8182847207849729,0.034187456980562025,0.041077974665562844,0.004433143313135768,0.021996258064387455,-0.19261571421009013,0.3697274575900387,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",0.8185432707943882,0.0336158653761669,0.04047190574853854,0.0038482689400373693,0.021930650224183376,-0.19265885928767032,0.3688234787587428,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.8207086038775951,0.4164478935315601,0.035388616643050486,0.30018912785280416,0.11532074081852246,-0.19381655370627068,0.9069027569615743,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.8244837804999002,0.020655653507158034,0.02649397663814901,-0.006123920308981845,0.014963051904929105,-0.17150074803169696,0.3347120752099323,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Polynomial Linear Regression,"['congestion_surcharge', 'total_amount']",0.8247040149208134,0.020143588917513888,0.02597382530136172,-0.0065931077053011655,0.014977737037516066,-0.17165842751721277,0.33410928354129354,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",0.8247286486220788,0.1476658633363993,0.025915636599176284,0.08848140308465238,0.05342535020118202,-0.16633584235907714,0.4129343446136288,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
15,Polynomial Linear Regression,"['DOLocationID', 'payment_type']",0.8247511695110821,0.016208183626609363,0.025862437173195252,0.0004990168124945071,0.023776535129654653,-0.09085926518654763,0.1419380260507538,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
16,Polynomial Linear Regression,"['DOLocationID', 'payment_type']",0.8248612860802184,0.016028772383930745,0.025602296051278728,0.0003125671421385645,0.023568462431826438,-0.09105489624724661,0.14229590426492403,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
17,Polynomial Linear Regression,"['DOLocationID', 'payment_type']",0.8248913412223092,0.016015107048441335,0.025531287275683767,0.0003078701699979758,0.023582317414675813,-0.09074881096666958,0.14164682799227687,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
18,Polynomial Linear Regression,['DOLocationID'],0.8252844905864437,0.015383409052527774,0.02460218781109691,-0.00037367538342311657,0.02381874801968155,-0.09065266456677563,0.13945346635710387,"test_size = 0.2, Degree = 4, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
19,Polynomial Linear Regression,['DOLocationID'],0.8253890943048778,0.01521080113930473,0.02435491137401291,-0.0005534538642459064,0.023616245266751427,-0.09085286224041418,0.13982373188946215,"test_size = 0.2, Degree = 3, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
20,Polynomial Linear Regression,['DOLocationID'],0.8254163470926664,0.015199880201818727,0.024290482396938207,-0.000553191007231224,0.023630218430953417,-0.09055094968462274,0.1391945309271533,"test_size = 0.2, Degree = 2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
21,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.8254996597006046,0.15077360870653256,0.02409350784658726,0.09069835125257855,0.05341942336408981,-0.16647108925837234,0.41733243638166034,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
22,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge']",0.8268955196952092,0.012608945340089828,0.020790343442146253,-0.0014353145089118224,0.0071462860902842835,-0.10203265890100983,0.18657055743160678,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
23,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge']",0.8268958853922272,0.0126081634426507,0.020789477325153127,-0.0015009448551533413,0.0074395120778463905,-0.10267473599048504,0.18710111526477366,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
24,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge']",0.8268974649281925,0.01260792888981177,0.020785736347013972,-0.0012869130432704155,0.007492976738135174,-0.10246018784889363,0.18698908585871513,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
25,Polynomial Linear Regression,['congestion_surcharge'],0.8272979379543802,0.012007808948525711,0.019837024139019444,-0.002429783756109999,0.007349981960779377,-0.10134849146719711,0.18349275911553017,"test_size = 0.2, Degree = 2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
