,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Multiple Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.8205848923487491,0.3547314401128949,0.1685318635543469,0.2992739811388379,0.10385536808966399,0.31829101849549835,0.11629379709837268,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.8205848923487491,0.3547314401128949,0.1685318635543469,0.29927398113883796,0.10385536808966392,0.31829101849549823,0.11629379709837268,"test_size = 0.2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Multiple Linear Regression,"['congestion_surcharge', 'total_amount']",0.8214525762713069,0.34972728523206364,0.1667725502373414,0.29876108169176185,0.10442825105284986,0.3179634877498566,0.11706650293285553,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.8214525762713069,0.34972728523206364,0.1667725502373414,0.29876108169176196,0.10442825105284981,0.3179634877498567,0.11706650293285559,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Multiple Linear Regression,"['payment_type', 'total_amount']",0.8532878397139929,0.33732469890200767,0.10093790098972077,0.27112785588528127,0.09827796636795279,0.29126056098620196,0.10601158249231141,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.8532878397139931,0.33732469890200767,0.10093790098972044,0.27112785588528143,0.09827796636795275,0.2912605609862021,0.10601158249231141,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Multiple Linear Regression,"['DOLocationID', 'total_amount']",0.8547144669929089,0.33155327555703595,0.09792907166084464,0.27065084523383875,0.09858105022247328,0.2909204350200288,0.10678723703132652,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Simple Linear Regression,['total_amount'],0.8547144669929089,0.33155327555703584,0.09792907166084441,0.27065084523383875,0.09858105022247322,0.29092043502002884,0.10678723703132648,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Multiple Linear Regression,"['payment_type', 'congestion_surcharge']",0.9023662801640123,0.008223664625371607,-0.005458831488169835,-0.019989036261715665,0.007048946272661835,-0.00782854464283005,0.01304486515035145,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",0.9023662801640124,0.008223664625371718,-0.005458831488169835,-0.01998903626171572,0.007048946272661748,-0.007828544642830093,0.013044865150351496,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Simple Linear Regression,['congestion_surcharge'],0.9024848426523253,0.00015406051349020622,-0.005723064616330431,-0.0205399057384838,0.007586815159302617,-0.00784604350064877,0.01379309815669635,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge']",0.9024848426523253,0.00015406051349020622,-0.005723064616330653,-0.02053990573848391,0.007586815159302753,-0.007846043500648747,0.013793098156696288,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Simple Linear Regression,['payment_type'],0.904015790994664,0.0081348721837462,-0.009138115916658363,-0.018159904758889234,0.007554943894344669,-0.005187511315806104,0.005653743950136629,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Multiple Linear Regression,"['DOLocationID', 'payment_type']",0.904015790994664,0.0081348721837462,-0.009138115916658363,-0.01815990475888929,0.007554943894344691,-0.005187511315806104,0.005653743950136629,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Simple Linear Regression,['DOLocationID'],0.904642127156115,0.0,-0.01053693805575584,-0.01863227544111984,0.00781616615195186,-0.0052550142869199675,0.005676734070570001,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
