,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.8185785163032263,0.4119163450809218,0.1725928651636195,-9.51539436437614e+24,1.6481146493154038e+25,0.3292761390064434,0.07136536202479263,"test_size = 0.2, Degree = 3, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Polynomial Linear Regression,"['payment_type', 'total_amount']",0.8311760303754676,0.37400144158895055,0.1469301405856851,0.26905439244130525,0.06529784923543543,0.30721725954531454,0.09290174735437876,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.8311760303754677,0.37400144158895055,0.14693014058568477,0.26909851753413117,0.06524033791167842,0.3072533604987958,0.09293361639168914,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Polynomial Linear Regression,"['payment_type', 'total_amount']",0.8316670159990704,0.36686676077819147,0.14592200577434133,0.3062699423804556,0.11458445723801834,0.3267296692828497,0.10239752518019872,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.8317589396116309,0.36739631906380465,0.14573319397357687,0.29197349969813396,0.1169695126190232,0.30686402901188353,0.12018405541960894,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Polynomial Linear Regression,"['payment_type', 'total_amount']",0.8317589396116309,0.36739631906380465,0.14573319397357676,0.29191411058618133,0.11702364462441103,0.3068158867247619,0.1201548957773131,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Polynomial Linear Regression,['total_amount'],0.8326126904853645,0.36968426792297127,0.1439785862268672,0.2698818882767673,0.06212994281459853,0.30790898869585187,0.0923114746543356,"test_size = 0.2, Degree = 4, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",0.8326126904853651,0.36968426792297127,0.1439785862268661,0.2698818882767676,0.06212994281459881,0.3079089886958523,0.09231147465433565,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",0.8328311909499467,0.36199220050468583,0.14352924015972168,0.3074770464580075,0.11417889494988194,0.3276052649696582,0.10266444928577674,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Polynomial Linear Regression,['total_amount'],0.8328311909499467,0.36199220050468583,0.14352924015972157,0.3066123545460468,0.1141951476129964,0.32680531806411184,0.10282436030018056,"test_size = 0.2, Degree = 2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Polynomial Linear Regression,['total_amount'],0.8329352214662952,0.3625265935960581,0.1433152600371711,0.29223901384808526,0.11686799314704535,0.3063971583384091,0.12185018631906219,"test_size = 0.2, Degree = 3, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",0.8329352214662952,0.3625265935960581,0.1433152600371711,0.2922390138480856,0.11686799314704524,0.3063971583384091,0.12185018631906214,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Polynomial Linear Regression,"['congestion_surcharge', 'total_amount']",0.8335848262634219,0.4158249253187052,0.14197848495163812,0.29640737937828465,0.10200231228816316,0.3297851811028682,0.07127695601503194,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.8335848262634227,0.4158249253187052,0.14197848495163645,0.29640737937828415,0.10200231228816337,0.3297851811028682,0.0712769560150321,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.8338318767128985,0.41936999704945843,0.14146982403112662,0.29502070069264974,0.1026553078902066,0.3290843595984884,0.06991716464355528,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
15,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.8347392820878378,0.423889354024958,0.1396002414337938,0.158187594701999,0.20532693626307938,0.14958330307259166,0.3310241750670607,"test_size = 0.2, Degree = 4, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
