,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Multiple Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.7217756407099422,0.42419577837809674,0.4507099020301142,0.43664423418593223,0.06629055743392553,0.43383656065635534,0.07131950881358837,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.721799351749657,0.4242470811106911,0.45067381199735923,0.43668637003424426,0.0662859352784809,0.4338736322133602,0.07129803581179098,"test_size = 0.2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.7366813796526949,0.4030127503424926,0.42778832605151906,0.41095805263952007,0.05639310285993975,0.406331019083887,0.06036111840794831,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Multiple Linear Regression,"['payment_type', 'total_amount']",0.7387711199694461,0.4006588352287751,0.4245373416759929,0.40777818787198206,0.0554351897567454,0.4029224942225921,0.05917870095788769,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",0.7463269300021975,0.38725731585767353,0.4127060138934925,0.40131868769241374,0.06856607212942159,0.40022832939439945,0.0763679729754383,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Multiple Linear Regression,"['payment_type', 'congestion_surcharge']",0.7486625337588627,0.38439807407806825,0.409024430644953,0.39816626870026967,0.06814523543013905,0.3970121765443862,0.07587202360075332,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Multiple Linear Regression,"['DOLocationID', 'payment_type']",0.7730680101570794,0.3466307225172204,0.3698662617163613,0.3597363943774793,0.05862271485450264,0.35834321520161183,0.06378313421083578,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Simple Linear Regression,['payment_type'],0.7929821003490473,0.3179652616602977,0.336983865921451,0.3303844241581465,0.05664981962928644,0.3291505822566034,0.06110085187057771,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.8540256142302118,0.21805434707312754,0.2309773680832442,0.21117385009191988,0.0292916986686156,0.20292874280789222,0.042131906407361565,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Multiple Linear Regression,"['congestion_surcharge', 'total_amount']",0.8540579559681742,0.21804007868409958,0.23091912158811922,0.21122542585376458,0.02922907111409083,0.2030075516291455,0.04199991431487477,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge']",0.8751785235917241,0.17863015515682057,0.19241055945648744,0.1823308318100842,0.05588696046626022,0.18058117151541725,0.06694810543889498,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Simple Linear Regression,['congestion_surcharge'],0.8780332786210086,0.17413763300861906,0.18713339582757493,0.17825251216171537,0.05768478749435199,0.17686449236932528,0.06921285136929702,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Multiple Linear Regression,"['DOLocationID', 'total_amount']",0.8951785142363222,0.14861739439569988,0.1550779813353237,0.12917183689287054,0.031127299137393354,0.11437504991569544,0.07367941766396208,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Simple Linear Regression,['total_amount'],0.9031674309081054,0.13622490856036162,0.13992987100718757,0.11375168531734162,0.03729061841769552,0.09759465368558891,0.08190941225151985,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Simple Linear Regression,['DOLocationID'],0.9351731757238327,0.07078854494745113,0.07789280545624833,0.06732182583691457,0.01334873648583184,0.06268909922931618,0.022189412732041003,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
