,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.6572586251959106,0.23123637677496334,0.36508094824134196,0.27465251346743735,0.08068429848144802,0.2791973380164279,0.0854777185226045,"test_size = 0.2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.6575571764435387,0.2305534273906864,0.36450400966820784,0.2737037551527828,0.07966178893471562,0.2780492488513143,0.08449924648347087,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Multiple Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.6596764076377728,0.22894622375408924,0.3604011477243406,0.27144546103503475,0.0792679625423951,0.2757575557142049,0.08382596419336391,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Multiple Linear Regression,"['payment_type', 'total_amount']",0.6599827505392636,0.22823898311670598,0.3598069713651708,0.2704648626407491,0.07822113143451663,0.27457298999915897,0.08282276974151433,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",0.6786507936670929,0.20322338714545318,0.32307821105932555,0.2478699249945015,0.08138070446748968,0.25590509512639076,0.08800998789918885,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Multiple Linear Regression,"['DOLocationID', 'payment_type']",0.6794499073426747,0.20176506109451553,0.3214831169644995,0.24601853974023474,0.080048570727597,0.25392311481951885,0.08673856294021746,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Multiple Linear Regression,"['payment_type', 'congestion_surcharge']",0.6824861221389805,0.19924736592724035,0.31540547695563015,0.24283561509883914,0.07940321374671301,0.25074151937501893,0.08604549651615126,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Simple Linear Regression,['payment_type'],0.6833243592659088,0.19771013923619296,0.3137227908655985,0.24089610174375045,0.07802525087739758,0.24867293826005693,0.0847399404519695,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.7890902006713916,0.05452663761389909,0.08483569813587832,0.026528569184627232,0.045064033527618605,0.009109398990259332,0.09565186764215233,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Multiple Linear Regression,"['DOLocationID', 'total_amount']",0.7894905171934518,0.05354753359926934,0.08390691123993899,0.02509368011482002,0.04658939123525527,0.007279497645879693,0.09747510932339604,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Multiple Linear Regression,"['congestion_surcharge', 'total_amount']",0.8027521146279536,0.03643432356154719,0.05287197488083739,-0.00018461857221443827,0.05669130438041513,-0.020926600739895135,0.10712757799636505,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Simple Linear Regression,['total_amount'],0.8031799417846613,0.035348793430262204,0.05186216111565678,-0.0017690057921626867,0.058593007997262,-0.022950604813368768,0.10931224334849782,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge']",0.8073164328181724,0.02502822450302733,0.04207092306273441,0.023802613401906814,0.0149360645013725,0.02016642516156768,0.018130819027698093,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Simple Linear Regression,['DOLocationID'],0.8082234068530333,0.0231188586156994,0.039917356511182334,0.021236687570105606,0.01382640692425695,0.01738277569327813,0.018016077607963445,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Simple Linear Regression,['congestion_surcharge'],0.8238582241659688,0.0021709533120998215,0.002413108776588957,-0.0055147413686268965,0.0065939649500564865,-0.010553815883771866,0.012509332932812884,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
