,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.597409447705007,0.3716244648011906,0.4754463132378203,0.39575827342376907,0.08751738463455917,0.403868217900144,0.09371317390422447,"test_size = 0.2, Degree = 3, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.5988147916080157,0.3688103840563597,0.4729754939490085,0.3938662383097704,0.08646050484564483,0.40176923022743366,0.09266428403361175,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.600681834065129,0.3032784767359069,0.4696839550227827,0.36307786280248444,0.12049007972521487,0.37441110130433414,0.12799076505749818,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.600760841009073,0.3047647164963011,0.4695444422121703,0.3646544345790689,0.1218925357005671,0.37618777724182095,0.12931396616961072,"test_size = 0.2, Degree = 2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Polynomial Linear Regression,"['payment_type', 'total_amount']",0.6147420282209081,0.29130991606581813,0.4445671238008724,0.3453623411338157,0.11733732333758184,0.35658441769056604,0.12428079383248589,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.6149824367788741,0.29284306573976715,0.4441326100673635,0.3469691210788656,0.11866598543847137,0.3583793945581718,0.12555762403484855,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.6266282124935039,0.5167595573434515,0.42288061915535935,-4.327636678442596,8.315536882302466,0.4648602533881456,0.024632472522293437,"test_size = 0.2, Degree = 4, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.6270256448393066,0.34523348065512904,0.42214832322223883,0.35704473870294073,0.08198641165210463,0.365289408281195,0.08686437556236616,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Polynomial Linear Regression,"['payment_type', 'total_amount']",0.627682340920801,0.34273506603216164,0.42093729892165677,0.355606548086044,0.08187879311155316,0.36368794156245254,0.08668111756352724,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.6285402326978646,0.5120784957739506,0.4193533365179576,0.4632403012195272,0.03268773909395545,0.462511676201211,0.026045735235659936,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",0.6447282128500167,0.24038541860599594,0.3890592116967001,0.29585720275752436,0.10249211979489171,0.3056236724418899,0.10940200613666153,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Polynomial Linear Regression,"['DOLocationID', 'payment_type']",0.6464625110913564,0.23804491022054763,0.3857679686702409,0.29299983919250183,0.10022462857770498,0.30248986518948745,0.10726639234841925,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",0.6546443823058743,0.23001029501888204,0.3701216782229517,0.2824008220516734,0.09712715559850944,0.2917344219585054,0.1038861020732385,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Polynomial Linear Regression,"['DOLocationID', 'payment_type']",0.6565104491502428,0.2275294954944833,0.3665256180761304,0.27924527315605036,0.09477800151394108,0.28830169216902946,0.10167240743332398,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.6640434112486177,0.46698395587779673,0.3519049346958919,0.4112606149183982,0.029808232553935922,0.4138469682635476,0.021573054617569802,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
15,Polynomial Linear Regression,"['payment_type', 'total_amount']",0.6656423460641546,0.4642331615374856,0.3487801108017955,0.4112654414068169,0.03162919983992158,0.41332864499922445,0.024035332813623887,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
16,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",0.6658001956892106,0.21796070165652093,0.34847121517859436,0.26668820114803304,0.09020933997692666,0.27555359203557106,0.0969355593660247,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
17,Polynomial Linear Regression,"['DOLocationID', 'payment_type']",0.6674934228857543,0.2153552887914464,0.3451531355298404,0.2633759706674522,0.08789815866966523,0.27197711952658904,0.094740738768256,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
18,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge']",0.6803252599875355,0.2025458980997844,0.31973368956228065,0.24680736104724613,0.08102388544307638,0.254887124545619,0.08758969701638016,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
19,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge']",0.6803252599875356,0.20254589809978418,0.3197336895622803,0.24680761199007462,0.0810235701333981,0.25488707469027866,0.08758976711836147,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
20,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge']",0.6803327392117184,0.20253342862614376,0.31971873232783377,0.24679421298521254,0.08102245005299719,0.25487193014336196,0.08758570412932631,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
21,Polynomial Linear Regression,['payment_type'],0.6819397297585262,0.19965403827504957,0.3165011988626407,0.24320767931199674,0.07864149739367314,0.2510268153161258,0.0853267303708526,"test_size = 0.2, Degree = 4, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
22,Polynomial Linear Regression,['payment_type'],0.6819397349975052,0.19965403829374428,0.31650118836072794,0.24320787894716153,0.07864124407412465,0.2510268161385635,0.08532673361968937,"test_size = 0.2, Degree = 3, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
23,Polynomial Linear Regression,['payment_type'],0.6819397401279287,0.19965403829956463,0.3165011780764221,0.24320763891650693,0.078641550901925,0.2510268139437303,0.0853267327717188,"test_size = 0.2, Degree = 2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
