,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",0.7514549728415292,0.20469145595618754,0.09576681225402506,-0.05175011325464615,0.24907177962563887,-0.00362517740391064,0.1851919102915866,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.7533088495913384,0.20500713580107,0.09129973239691402,-0.057030344282369444,0.24847145660356187,-0.011061989906467761,0.18500547223976116,"test_size = 0.2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Multiple Linear Regression,"['DOLocationID', 'payment_type']",0.7684781447819726,0.05931696607559622,0.05433447045589046,0.027208091062881523,0.04410392922419978,-0.021412002101885076,0.1342460454537721,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Multiple Linear Regression,"['payment_type', 'congestion_surcharge']",0.7706563597206385,0.18442757193524362,0.04896598447034506,-0.09980834899487623,0.297573609000793,-0.06207495787353932,0.2216017533124279,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge']",0.7707748276517992,0.16707987048691686,0.04867356959400537,-0.12436873103468438,0.29791250728316965,-0.041725709893673836,0.1824305333206241,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Multiple Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.7711313792361753,0.18444603105748414,0.04779322065640523,-0.10547221283205482,0.2962333150122601,-0.06710628247986943,0.2197047736518587,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Simple Linear Regression,['DOLocationID'],0.7711656603005431,0.04064411325958861,0.04770855703527177,-0.003469969883598434,0.051526050997016334,-0.03333013055111933,0.10952982144386349,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.7747130949685266,0.0683849713005561,0.038927145068814006,0.022135545614394375,0.05535240947691223,-0.03626731338059701,0.1829192620404895,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.7754339506148195,0.17768652378772776,0.037137793334350855,-0.11053258488541823,0.29310084419861854,-0.044215755097772466,0.18655795867355285,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Multiple Linear Regression,"['DOLocationID', 'total_amount']",0.7788154862835703,0.06139425311286828,0.028721725861551417,0.007371954141370263,0.06225107219644071,-0.04149561476174144,0.18333932490731547,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Simple Linear Regression,['payment_type'],0.7904998401823903,0.019067597271915426,-0.000640531159863178,0.00945588596254296,0.012377555842355866,-0.07455367478824867,0.16409668781751607,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Simple Linear Regression,['congestion_surcharge'],0.7925241170488503,0.1451225024347782,-0.00577188445066823,-0.16208179379719082,0.35989583959949223,-0.0800615626044798,0.20197690068006402,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Multiple Linear Regression,"['payment_type', 'total_amount']",0.7959635037818036,0.025855629410699077,-0.01452050063071364,-0.0038694221646250193,0.03271128834124186,-0.09726989371572137,0.21419403945023632,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Multiple Linear Regression,"['congestion_surcharge', 'total_amount']",0.7968232783168739,0.15362678971605448,-0.016713390080542512,-0.15782645491735947,0.35689822194144866,-0.09321805613705944,0.20886433160169815,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Simple Linear Regression,['total_amount'],0.8011798014355614,0.017667867024598882,-0.027861266667085216,-0.01545727056877616,0.03383958097186934,-0.09446749776228512,0.1945301621862847,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
