,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.8362489544723659,0.11772134298013381,0.15123887382457313,0.071891201523957,0.09760355510582895,0.0832545317736371,0.09934580672978803,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.8362692944560934,0.11794670245556149,0.1511975846908642,0.07200444619926649,0.09776903258475594,0.08342421098197716,0.09950068835956323,"test_size = 0.2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Multiple Linear Regression,"['DOLocationID', 'total_amount']",0.8412183959526712,0.11051472872410462,0.14112130979522386,0.06018258091279172,0.10279478446569369,0.07319920033053051,0.10272109281141208,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.8412320758191847,0.11076364664752958,0.14109337545279022,0.060324637677696635,0.10295668443640851,0.07339679323590106,0.10286621027244275,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Multiple Linear Regression,"['congestion_surcharge', 'total_amount']",0.8422620677827074,0.10318844452564191,0.1389888230168722,0.054465958580480534,0.10321768235301838,0.06785299303365629,0.10083979202442124,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Multiple Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.8422795200293587,0.10323571041560553,0.13895314116514068,0.054434476806162896,0.10323874282422882,0.06788584798937473,0.10087422963397437,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Simple Linear Regression,['total_amount'],0.8473886559798827,0.09579687858701758,0.12847550802062058,0.042221311739278566,0.10928428237693308,0.057273454291767556,0.10513811272101826,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Multiple Linear Regression,"['payment_type', 'total_amount']",0.8474046611647317,0.09585459094847626,0.12844258560130983,0.04219694227356521,0.10930864219071798,0.057317394171214155,0.10517253594470567,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",0.889892266941008,0.023646547704620047,0.03885442593950417,0.006103541764498677,0.02879730688570261,0.01358105445576685,0.021529524257497927,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge']",0.8905154896896493,0.022799407589098153,0.037507706652583184,0.005437971968665606,0.027665365316748642,0.012806841355349685,0.020761190398948068,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Multiple Linear Regression,"['payment_type', 'congestion_surcharge']",0.8948265336576994,0.020202282854889675,0.028166172960309654,0.008498735203988805,0.018144020667601114,0.012495740689267176,0.016405529174959,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Simple Linear Regression,['congestion_surcharge'],0.8955416732961019,0.019305120412795307,0.026612185491144524,0.007715441700410303,0.017220551003613964,0.011581670518302611,0.015846600557639492,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Multiple Linear Regression,"['DOLocationID', 'payment_type']",0.9005286758173628,0.006049560879463511,0.015740991744251254,-0.01586298724120358,0.029799318331313693,-0.005721752611804676,0.01646924328595162,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Simple Linear Regression,['DOLocationID'],0.9012036682782674,0.00510047895759469,0.014264933475962138,-0.016598060095418116,0.028590450364824917,-0.006565642170464158,0.015557746166078953,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Simple Linear Regression,['payment_type'],0.9069989238625784,0.001018721051412541,0.0015464893503138732,-0.013453079386813144,0.014380752572079906,-0.007343187829360454,0.008472713472701506,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
