,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",0.8109596854486425,0.18962232606490814,0.20179795732614147,0.10562214501581724,0.1703509756407967,0.12203765172758738,0.18751648887084166,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.8110604704773923,0.1912928273267075,0.20159954594718865,0.10626779459639854,0.17203652340874784,0.12326365451696222,0.1888713087238982,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.8117801721146922,0.19568304202287845,0.20018198196128256,0.11444163686920475,0.1643952178342269,0.12850233975353642,0.18242326413493,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.8118118820220475,0.19724391544496456,0.2001194954619202,0.1154274569142908,0.16543814727587675,0.12873099687264972,0.18650718653322496,"test_size = 0.2, Degree = 2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Polynomial Linear Regression,"['congestion_surcharge', 'total_amount']",0.8168251062653465,0.1840092563774457,0.19020990446799968,0.10073035612996481,0.16877286778171421,0.11590030582825865,0.1851260638196194,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.8169156890490816,0.1852501867197417,0.19003028925338983,0.10027666996271192,0.17123186394455564,0.11608785031094415,0.18876627247870206,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Polynomial Linear Regression,['total_amount'],0.81699833966428,0.17900555158466047,0.18986638523660215,0.09350147482293017,0.17440196209587078,0.10970970826190621,0.1911139203918929,"test_size = 0.2, Degree = 2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Polynomial Linear Regression,"['payment_type', 'total_amount']",0.8170944082361977,0.18036171431748016,0.18967585129922204,0.09343337434993682,0.17694155435577844,0.11018829065232531,0.19337092206147213,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.819179023755663,0.24871309989916413,0.1855358912489703,0.15843883133141218,0.13429048710614022,0.17927123305833112,0.16356857807335057,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",0.8192420301040266,0.24672903627984832,0.18541059902015822,0.158506865710783,0.13397459979526313,0.17804768961026768,0.16149757402969067,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Polynomial Linear Regression,['total_amount'],0.8213556186856874,0.24369942727766047,0.18120200684237175,0.15949092611237345,0.1292159916626621,0.1757026709366305,0.15961337266222259,"test_size = 0.2, Degree = 3, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Polynomial Linear Regression,"['payment_type', 'total_amount']",0.8217525458805308,0.24516273663190247,0.18041043322073702,0.1586333958377091,0.13147983464241408,0.17549664070064694,0.1620850927384172,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.8226581551012668,0.25369516142291015,0.1786029867886063,0.16021581335655843,0.12788524146500072,0.18040017078607704,0.15766915111504384,"test_size = 0.2, Degree = 3, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.8227925147715822,0.25180097426622217,0.17833465748649735,0.16117997526176253,0.1280677479063748,0.17932652875110006,0.15690040940188887,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Polynomial Linear Regression,"['congestion_surcharge', 'total_amount']",0.8230145229339474,0.24697539334800855,0.17789118961447137,0.16162856202406717,0.12535475878470273,0.17147900209752054,0.17061141552607384,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
15,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.8232272019644826,0.24834797721027657,0.17746624475332806,0.16091174526070282,0.1272159600469602,0.17838786752343813,0.1597993980581367,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
