DOLocationID,payment_type,congestion_surcharge,total_amount,tip_amount
264,1.0,0.0,4.81,0.01
264,1.0,0.0,15.55,10.0
265,1.0,2.75,123.25,0.0
264,1.0,0.0,29.0,0.0
264,1.0,0.0,27.8,0.0
264,1.0,0.0,85.3,4.0
264,1.0,0.0,26.0,6.0
265,1.0,2.75,170.67,15.0
265,1.0,0.0,28.3,0.0
265,1.0,0.0,37.0,0.0
264,2.0,0.0,12.8,0.0
264,1.0,0.0,30.3,0.0
265,1.0,0.0,83.16,13.86
264,1.0,0.0,30.36,5.06
264,1.0,0.0,35.3,0.0
264,1.0,0.0,141.3,10.0
265,2.0,0.0,93.8,0.0
264,1.0,0.0,18.0,2.7
265,1.0,0.0,225.3,0.0
264,1.0,0.0,15.3,0.0
265,1.0,0.0,36.3,0.0
264,1.0,0.0,17.3,0.0
265,1.0,0.0,126.42,0.0
265,2.0,0.0,29.8,0.0
265,1.0,0.0,187.7,31.28
264,2.0,0.0,60.3,0.0
264,1.0,0.0,39.0,9.0
264,1.0,0.0,10.3,0.0
264,1.0,0.0,48.36,8.06
264,1.0,0.0,10.3,0.0
264,1.0,0.0,24.36,4.06
264,1.0,0.0,168.36,28.06
265,1.0,0.0,40.41,0.11
265,2.0,0.0,53.3,0.0
264,2.0,0.0,5.3,0.0
265,1.0,0.0,130.3,0.0
264,2.0,0.0,5.8,0.0
265,1.0,2.75,119.55,0.0
264,1.0,0.0,56.3,1.0
265,1.0,0.0,71.0,0.7
264,1.0,0.0,40.3,0.0
265,1.0,0.0,71.8,1.0
265,1.0,2.75,121.67,0.0
264,1.0,0.0,20.3,0.0
264,1.0,0.0,80.3,0.0
264,1.0,0.0,60.36,10.06
265,1.0,2.75,100.25,10.0
264,1.0,0.0,76.3,0.0
264,2.0,0.0,16.3,0.0
264,1.0,0.0,18.36,3.06
264,1.0,0.0,84.0,14.0
265,2.0,0.0,44.1,0.0
264,2.0,0.0,3.3,0.0
264,1.0,0.0,75.38,15.08
265,2.0,0.0,60.8,0.0
264,2.0,0.0,3.3,0.0
264,2.0,0.0,3.3,0.0
264,2.0,0.0,3.3,0.0
265,2.0,0.0,49.8,0.0
264,2.0,0.0,4.3,0.0
264,2.0,0.0,4.3,0.0
264,2.0,0.0,4.3,0.0
264,2.0,0.0,4.3,0.0
265,1.0,0.0,33.85,0.05
264,2.0,0.0,4.3,0.0
264,2.0,0.0,4.3,0.0
264,2.0,0.0,4.3,0.0
265,1.0,0.0,32.8,2.0
264,2.0,0.0,16.3,0.0
264,1.0,0.0,53.25,10.65
264,2.0,0.0,210.3,0.0
265,2.0,0.0,108.04,0.0
265,1.0,0.0,18.3,0.0
265,1.0,0.0,277.88,55.58
265,1.0,0.0,10.3,0.0
265,1.0,0.0,75.3,0.0
264,2.0,0.0,25.8,0.0
265,2.0,0.0,44.8,0.0
265,2.0,0.0,26.8,0.0
265,1.0,0.0,15.3,0.0
264,2.0,0.0,11.55,0.0
264,2.0,0.0,8.8,0.0
264,2.0,0.0,5.8,0.0
264,2.0,0.0,3.3,0.0
264,2.0,0.0,101.8,0.0
264,1.0,0.0,16.62,3.32
264,1.0,0.0,6.96,1.16
264,2.0,0.0,6.3,0.0
265,1.0,0.0,64.8,3.0
265,1.0,0.0,35.8,0.0
264,2.0,0.0,8.8,0.0
265,1.0,0.0,41.32,0.02
264,2.0,0.0,5.8,0.0
264,2.0,0.0,10.8,0.0
264,1.0,0.0,26.8,0.0
265,1.0,0.0,26.3,2.0
264,1.0,0.0,24.8,0.0
264,2.0,0.0,22.8,0.0
265,1.0,0.0,135.96,22.66
265,2.0,0.0,30.8,0.0
265,1.0,0.0,56.16,9.36
264,2.0,0.0,4.3,0.0
264,1.0,0.0,30.36,5.06
265,1.0,0.0,76.3,0.0
265,2.0,0.0,79.3,0.0
265,2.0,0.0,48.8,0.0
265,1.0,2.75,52.86,8.81
264,2.0,0.0,5.3,0.0
264,1.0,0.0,9.96,1.66
264,1.0,0.0,7.3,0.0
265,1.0,0.0,40.56,6.76
264,2.0,0.0,40.8,0.0
264,2.0,0.0,3.8,0.0
264,1.0,0.0,17.16,2.86
265,2.0,0.0,26.3,0.0
264,2.0,0.0,20.8,0.0
265,1.0,0.0,49.8,0.0
265,1.0,0.0,55.3,0.0
265,1.0,0.0,35.0,3.7
265,2.0,0.0,20.6,0.0
264,1.0,0.0,8.0,0.7
264,1.0,0.0,9.49,2.19
265,2.0,0.0,38.3,0.0
265,1.0,0.0,93.8,0.0
264,1.0,0.0,7.56,1.26
265,1.0,0.0,95.3,15.0
264,2.0,0.0,7.3,0.0
264,1.0,0.0,10.0,0.0
265,2.0,0.0,59.8,0.0
265,2.0,0.0,65.42,0.0
264,2.0,0.0,6.8,0.0
264,1.0,0.0,23.79,5.49
265,2.0,0.0,28.8,0.0
265,1.0,0.0,21.8,0.0
264,1.0,0.0,65.3,0.0
265,1.0,0.0,60.3,0.0
265,2.0,0.0,29.8,0.0
265,2.0,0.0,30.0,0.0
265,2.0,0.0,30.8,0.0
264,1.0,0.0,9.3,1.0
264,1.0,0.0,11.62,2.32
265,1.0,0.0,19.8,0.0
265,1.0,0.0,32.0,5.4
265,2.0,0.0,23.8,0.0
265,2.0,0.0,100.8,0.0
264,1.0,0.0,12.3,0.0
264,1.0,0.0,30.36,5.06
264,1.0,0.0,12.3,0.0
264,1.0,0.0,20.3,2.0
265,1.0,0.0,75.3,0.0
264,2.0,0.0,10.3,0.0
265,2.0,0.0,35.8,0.0
264,2.0,0.0,6.3,0.0
265,1.0,0.0,40.3,0.0
265,2.0,0.0,20.3,0.0
264,1.0,0.0,6.96,1.16
264,1.0,0.0,11.1,0.8
265,1.0,0.0,33.8,0.0
265,2.0,0.0,41.8,0.0
264,1.0,0.0,14.76,2.46
264,1.0,0.0,10.3,0.0
265,1.0,0.0,35.91,5.66
264,1.0,0.0,8.3,0.0
265,2.0,0.0,148.3,0.0
265,1.0,0.0,74.76,12.46
265,1.0,0.0,80.76,13.46
265,1.0,0.0,63.8,3.0
265,1.0,0.0,10.3,0.0
265,1.0,0.0,14.83,0.03
265,1.0,0.0,30.8,3.0
264,2.0,0.0,52.8,0.0
265,1.0,0.0,51.62,10.32
264,2.0,0.0,4.3,0.0
265,1.0,0.0,25.3,0.0
264,2.0,0.0,52.8,0.0
264,2.0,0.0,34.55,0.0
264,1.0,0.0,25.26,4.21
265,2.0,0.0,28.3,0.0
264,1.0,2.75,22.05,1.0
265,2.0,0.0,31.3,0.0
265,2.0,0.0,50.8,0.0
264,1.0,0.0,10.56,1.76
264,1.0,0.0,9.96,1.66
264,1.0,0.0,20.3,0.0
264,1.0,0.0,39.12,0.0
265,1.0,2.75,168.66,28.11
264,2.0,0.0,3.8,0.0
265,2.0,0.0,27.8,0.0
265,2.0,0.0,25.3,0.0
264,1.0,0.0,40.3,0.0
264,1.0,0.0,11.8,8.0
265,1.0,0.0,30.82,4.02
264,1.0,0.0,9.3,0.0
265,2.0,0.0,42.3,0.0
265,1.0,0.0,54.36,9.06
265,2.0,0.0,43.3,0.0
265,1.0,0.0,33.0,3.0
264,1.0,0.0,7.3,0.0
265,2.0,0.0,25.3,0.0
264,1.0,0.0,20.1,0.0
265,1.0,0.0,180.36,30.06
265,2.0,0.0,70.3,0.0
265,2.0,0.0,9.8,0.0
265,1.0,0.0,60.36,10.06
264,1.0,0.0,12.31,1.01
264,1.0,0.0,65.3,0.0
265,1.0,2.75,73.93,0.88
265,1.0,0.0,97.3,10.0
265,1.0,0.0,8.76,1.46
265,2.0,0.0,25.8,0.0
265,1.0,0.0,42.96,7.16
264,1.0,0.0,29.0,0.0
265,1.0,0.0,29.3,0.0
265,1.0,0.0,24.3,0.0
265,1.0,0.0,28.8,0.0
265,2.0,0.0,28.8,0.0
264,1.0,0.0,25.0,0.0
264,1.0,0.0,8.19,1.89
265,1.0,2.75,129.44,25.89
264,4.0,0.0,4.3,0.0
264,2.0,0.0,4.3,0.0
264,2.0,0.0,6.8,0.0
264,1.0,0.0,8.76,1.46
265,2.0,0.0,57.8,0.0
265,2.0,0.0,30.3,0.0
265,1.0,0.0,37.81,0.01
264,2.0,0.0,9.3,0.0
264,1.0,0.0,12.0,2.0
264,1.0,0.0,20.3,0.0
265,2.0,0.0,49.3,0.0
265,2.0,0.0,30.8,0.0
265,1.0,0.0,50.38,10.08
265,1.0,0.0,40.8,20.0
265,2.0,0.0,37.3,0.0
265,1.0,0.0,63.25,8.0
265,2.0,0.0,27.8,0.0
264,2.0,0.0,26.5,0.0
265,2.0,0.0,26.3,0.0
265,2.0,0.0,24.3,0.0
264,1.0,0.0,19.05,1.0
264,2.0,0.0,52.8,0.0
265,2.0,0.0,47.8,0.0
264,1.0,0.0,15.3,0.0
265,2.0,0.0,23.6,0.0
264,2.0,0.0,9.3,0.0
265,1.0,0.0,18.8,0.0
264,2.0,0.0,7.3,0.0
265,2.0,0.0,18.3,0.0
264,2.0,0.0,8.8,0.0
265,1.0,0.0,40.7,0.1
265,2.0,0.0,23.1,0.0
264,1.0,0.0,52.0,7.0
265,2.0,0.0,91.8,0.0
264,2.0,0.0,4.3,0.0
265,1.0,0.0,32.8,0.0
264,1.0,0.0,5.16,0.86
264,2.0,0.0,8.8,0.0
265,1.0,0.0,20.0,0.0
265,2.0,0.0,20.3,0.0
264,1.0,0.0,13.1,1.8
264,3.0,0.0,3.8,0.0
264,2.0,0.0,3.8,0.0
264,2.0,0.0,20.3,0.0
265,1.0,0.0,105.96,17.66
264,1.0,0.0,48.36,8.06
265,1.0,0.0,65.55,8.3
265,1.0,0.0,40.0,5.0
264,1.0,0.0,31.05,4.0
265,1.0,0.0,90.3,7.0
265,2.0,0.0,35.3,0.0
264,1.0,0.0,12.8,0.0
265,2.0,0.0,20.3,0.0
265,1.0,0.0,40.8,2.0
264,1.0,0.0,19.3,0.0
265,1.0,0.0,28.56,4.76
264,2.0,0.0,3.3,0.0
265,1.0,0.0,29.8,3.0
264,1.0,0.0,15.3,1.0
265,1.0,0.0,15.8,0.0
264,2.0,0.0,12.3,0.0
264,1.0,0.0,17.75,2.95
264,2.0,0.0,12.3,0.0
265,1.0,0.0,31.3,3.0
264,1.0,0.0,10.3,0.0
265,1.0,0.0,75.3,0.0
264,1.0,0.0,27.0,0.0
265,2.0,0.0,25.8,0.0
264,2.0,0.0,20.8,0.0
264,1.0,0.0,24.36,4.06
265,1.0,0.0,98.5,19.7
265,1.0,0.0,125.76,20.96
265,2.0,0.0,31.75,0.0
265,1.0,0.0,33.3,0.0
264,1.0,0.0,10.8,7.0
264,1.0,0.0,8.76,1.46
265,2.0,0.0,65.3,0.0
264,1.0,0.0,18.36,3.06
265,2.0,2.75,46.3,0.0
265,1.0,0.0,50.16,8.36
265,2.0,0.0,229.8,0.0
265,2.0,0.0,79.8,0.0
265,1.0,0.0,87.96,14.66
264,1.0,0.0,8.76,1.46
265,2.0,0.0,31.8,0.0
264,2.0,0.0,11.6,0.0
264,1.0,0.0,11.16,1.86
265,2.0,0.0,114.3,0.0
265,1.0,0.0,76.8,9.0
265,1.0,0.0,38.16,6.36
264,2.0,0.0,10.3,0.0
264,2.0,0.0,16.3,0.0
264,3.0,0.0,52.8,0.0
264,2.0,0.0,52.8,0.0
264,1.0,0.0,13.8,0.0
265,1.0,0.0,37.56,6.26
265,1.0,0.0,21.0,0.0
264,1.0,0.0,22.3,0.0
265,1.0,0.0,29.8,2.0
265,2.0,0.0,63.05,0.0
265,1.0,0.0,45.36,7.56
265,2.0,0.0,37.1,0.0
264,1.0,0.0,75.38,15.08
265,2.0,0.0,20.8,0.0
265,2.0,0.0,60.3,0.0
264,1.0,0.0,10.38,2.08
264,1.0,0.0,23.8,2.0
264,1.0,0.0,8.58,0.78
264,2.0,0.0,57.3,0.0
265,1.0,0.0,32.8,0.0
265,1.0,0.0,54.12,10.82
265,1.0,0.0,41.16,6.86
265,1.0,0.0,28.3,1.0
264,2.0,0.0,7.8,0.0
264,1.0,0.0,7.3,0.0
265,2.0,0.0,28.8,0.0
264,1.0,0.0,18.36,3.06
264,1.0,0.0,10.3,0.0
264,1.0,0.0,29.0,0.0
264,1.0,0.0,8.3,0.0
264,1.0,0.0,17.55,1.0
265,1.0,0.0,37.23,4.43
264,1.0,0.0,10.3,0.0
265,1.0,0.0,43.4,0.1
265,2.0,0.0,39.3,0.0
265,2.0,0.0,20.0,0.0
265,2.0,0.0,31.34,0.0
264,2.0,0.0,19.55,0.0
265,2.0,0.0,59.05,0.0
264,1.0,0.0,19.12,3.82
265,2.0,0.0,78.3,0.0
264,2.0,0.0,24.3,0.0
265,1.0,0.0,22.8,0.0
265,2.0,0.0,41.3,0.0
265,1.0,0.0,39.3,0.0
264,2.0,0.0,14.5,0.0
265,2.0,0.0,29.3,0.0
265,1.0,0.0,206.52,34.42
265,1.0,0.0,28.8,0.0
264,2.0,0.0,64.8,0.0
264,1.0,0.0,10.56,1.76
264,2.0,0.0,10.3,0.0
264,2.0,0.0,27.8,0.0
264,2.0,0.0,57.3,0.0
264,2.0,0.0,12.3,0.0
264,1.0,0.0,12.36,2.06
265,1.0,0.0,39.36,6.56
265,1.0,0.0,43.8,2.0
264,1.0,0.0,15.38,3.08
265,1.0,0.0,34.3,0.0
264,1.0,0.0,20.8,0.0
265,2.0,0.0,75.42,0.0
264,2.0,0.0,10.3,0.0
264,2.0,0.0,18.55,0.0
264,1.0,0.0,8.3,1.0
264,1.0,0.0,7.5,1.7
264,2.0,0.0,8.3,0.0
265,2.0,0.0,19.8,0.0
265,2.0,0.0,28.3,0.0
264,1.0,0.0,30.36,5.06
265,2.0,0.0,31.3,0.0
265,1.0,0.0,69.36,11.56
265,2.0,0.0,64.3,0.0
264,1.0,0.0,7.56,1.26
264,1.0,0.0,26.38,6.08
265,1.0,0.0,75.3,0.0
265,1.0,0.0,40.56,6.76
264,1.0,0.0,21.96,3.66
265,1.0,0.0,19.3,0.0
265,1.0,0.0,71.16,11.86
264,1.0,0.0,24.18,0.0
265,1.0,0.0,52.8,0.0
265,2.0,0.0,41.05,0.0
265,2.0,0.0,20.3,0.0
264,1.0,0.0,13.3,0.0
265,2.0,0.0,31.3,0.0
264,2.0,0.0,10.0,0.0
264,2.0,0.0,25.77,0.0
265,1.0,0.0,21.3,2.0
264,1.0,0.0,10.8,1.8
265,2.0,0.0,31.3,0.0
264,1.0,0.0,12.3,0.0
264,2.0,0.0,28.3,0.0
265,2.0,0.0,14.8,0.0
265,1.0,0.0,76.3,0.0
264,2.0,0.0,6.8,0.0
264,2.0,0.0,6.3,0.0
264,2.0,0.0,4.3,0.0
265,2.0,0.0,79.3,0.0
265,2.0,0.0,30.8,0.0
265,2.0,0.0,14.8,0.0
265,2.0,0.0,25.3,0.0
264,2.0,0.0,10.8,0.0
265,1.0,0.0,31.3,0.0
265,2.0,0.0,23.8,0.0
264,2.0,0.0,3.8,0.0
264,1.0,0.0,20.76,3.46
265,1.0,0.0,30.96,5.16
264,2.0,0.0,3.8,0.0
264,1.0,0.0,32.55,2.0
265,1.0,2.75,66.51,10.76
264,2.0,0.0,23.3,0.0
264,1.0,0.0,45.3,0.0
264,2.0,0.0,50.3,0.0
264,1.0,0.0,20.05,2.0
265,2.0,0.0,20.3,0.0
265,2.0,0.0,71.8,0.0
265,1.0,0.0,19.8,0.0
264,2.0,0.0,27.05,0.0
265,2.0,0.0,28.3,0.0
265,1.0,0.0,59.8,0.0
264,2.0,0.0,25.0,0.0
264,2.0,0.0,45.55,0.0
265,1.0,0.0,34.3,4.0
265,2.0,0.0,36.05,0.0
265,1.0,0.0,216.62,43.32
264,1.0,0.0,48.06,8.01
264,1.0,0.0,6.3,0.0
265,1.0,0.0,45.95,7.65
265,2.0,0.0,40.3,0.0
265,1.0,0.0,60.0,0.0
264,1.0,0.0,14.76,2.46
265,1.0,0.0,35.76,5.96
264,1.0,0.0,12.3,0.0
265,2.0,0.0,50.8,0.0
265,2.0,0.0,75.3,0.0
264,2.0,0.0,17.8,0.0
265,1.0,0.0,38.16,6.36
