DOLocationID,total_amount,fare_amount,trip_distance,tip_amount
220,30.12,20.0,6.54,6.02
168,13.11,8.0,1.31,1.86
167,14.3,12.0,2.8,1.0
168,5.76,3.5,0.33,0.96
242,17.15,13.0,3.6,2.85
168,10.56,7.5,1.42,1.76
78,21.7,14.5,4.1,3.95
168,11.3,8.0,1.51,2.0
235,9.36,6.5,1.2,1.56
168,10.56,7.5,1.58,1.76
159,13.57,10.5,2.13,1.77
136,29.12,22.0,5.99,5.82
208,12.24,8.5,2.01,0.49
241,35.3,24.0,8.33,10.0
185,34.3,28.0,9.8,5.0
69,20.08,20.0,0.7,0.08
69,14.15,10.5,2.4,2.35
185,14.65,10.0,2.4,3.35
119,18.3,15.0,3.48,2.0
69,15.3,12.0,3.01,2.0
247,15.3,13.0,3.6,1.0
168,9.75,6.5,1.19,1.95
213,17.1,15.0,4.39,0.8
59,13.3,11.0,2.56,1.0
18,47.3,32.0,11.09,7.88
250,24.96,19.5,6.19,4.16
208,27.8,23.5,7.81,3.0
168,7.25,4.5,0.57,1.45
185,7.56,5.0,1.04,1.26
259,21.96,17.0,4.57,3.66
31,23.34,20.0,0.27,3.04
242,6.96,5.0,0.88,1.16
250,14.8,12.0,3.14,2.0
69,12.25,8.5,2.0,2.45
168,11.76,9.0,1.84,1.96
147,17.3,15.5,4.76,1.0
3,17.8,16.0,4.9,1.0
32,14.3,2.5,0.01,11.0
247,12.8,10.0,2.44,2.0
18,9.8,8.5,0.03,1.0
168,18.96,15.0,4.58,3.16
247,7.88,5.5,0.89,1.58
168,8.84,6.0,1.44,2.04
185,26.76,21.5,7.5,4.46
174,7.24,5.5,1.16,0.94
94,31.8,19.0,5.63,12.0
69,13.56,9.5,1.84,2.26
182,8.05,5.0,0.75,2.25
200,25.82,18.5,6.1,2.88
208,84.3,44.5,14.25,39.0
185,39.5,26.0,8.7,6.58
126,17.8,15.0,4.7,1.0
32,30.8,27.5,9.22,2.0
182,8.19,5.0,0.74,1.89
69,15.0,11.0,2.9,2.7
3,9.49,6.0,1.28,2.19
136,24.95,19.5,6.3,4.15
241,28.56,22.5,7.74,4.76
119,8.16,5.5,0.86,1.36
126,24.96,19.5,6.12,4.16
208,25.8,22.5,7.76,2.0
185,10.3,8.0,1.63,1.0
185,19.89,14.0,4.58,4.59
78,50.72,42.0,14.41,1.8
20,14.3,11.5,3.13,2.0
200,21.8,18.0,5.7,3.0
241,23.9,21.0,6.6,2.1
69,19.56,15.5,3.61,3.26
69,13.56,10.5,2.08,2.26
168,11.75,9.0,1.5,1.95
168,8.5,6.0,1.0,1.7
159,7.24,5.5,0.81,0.94
168,8.76,6.5,1.12,1.46
182,7.0,5.0,0.62,1.2
213,12.96,10.0,2.6,2.16
69,12.36,9.5,1.95,2.06
18,23.36,22.0,6.61,0.56
136,29.8,21.0,6.34,8.0
168,11.16,8.5,2.1,1.86
213,22.71,16.5,4.95,3.46
119,14.76,11.5,2.64,2.46
242,28.11,21.0,6.03,4.36
220,19.32,12.5,3.17,3.22
47,14.0,11.0,2.4,2.2
69,8.3,5.5,0.99,2.0
250,12.36,9.5,1.87,2.06
18,8.19,5.5,0.75,1.89
174,34.1,24.5,8.5,6.0
185,9.8,7.0,1.36,2.0
20,15.3,11.0,2.3,3.5
182,27.96,22.5,6.47,4.66
240,18.82,18.0,5.07,0.02
159,11.33,10.0,11.12,1.03
250,21.96,17.5,5.08,3.66
220,22.0,14.0,3.7,4.4
20,31.6,24.5,7.3,6.3
174,3.66,2.75,0.01,0.61
220,161.01,117.5,18.14,37.16
69,23.16,18.5,4.3,3.86
213,24.3,22.5,7.2,1.0
69,20.0,17.0,3.72,2.2
147,20.0,2.5,0.27,16.7
208,88.8,52.0,15.71,36.0
168,18.3,16.5,4.5,1.0
184,54.9,36.0,12.34,10.98
69,18.8,16.0,3.72,1.0
69,15.36,11.0,2.11,2.56
220,20.52,12.5,3.84,3.42
247,12.96,9.0,1.68,2.16
208,83.8,47.0,15.06,35.0
51,36.0,32.0,10.4,2.2
169,9.96,6.5,0.84,1.66
169,20.76,15.5,4.71,3.46
69,23.1,12.5,3.03,8.8
213,23.3,19.5,6.04,2.0
168,11.79,8.0,1.25,1.99
247,13.8,10.0,2.26,2.0
220,37.0,28.5,9.37,3.9
69,15.8,11.0,2.38,3.0
159,14.3,11.5,2.24,1.0
119,6.3,4.0,0.55,1.0
94,25.0,19.0,5.98,4.7
