DOLocationID,total_amount,fare_amount,trip_distance,tip_amount
65,24.36,20.0,1.28,4.06
228,15.34,10.5,2.47,3.54
133,53.16,43.0,15.48,8.86
256,18.36,14.0,3.48,3.06
80,18.3,14.5,4.3,2.5
228,14.12,10.0,2.56,2.82
89,16.62,12.0,2.61,3.32
25,46.05,37.0,11.41,5.0
189,11.16,8.0,1.44,1.86
61,11.76,8.5,1.81,1.96
255,12.8,6.5,1.09,5.0
17,9.36,6.5,1.49,1.56
37,57.92,42.5,14.27,8.0
17,20.54,14.5,2.78,4.74
188,23.16,18.0,4.48,3.86
33,29.3,8.0,1.28,20.0
256,21.84,15.5,4.18,5.04
17,8.5,5.5,1.03,1.7
256,20.15,15.5,4.0,3.35
80,6.96,4.5,0.5,1.16
37,15.96,12.0,2.34,2.66
61,11.16,8.0,1.73,1.86
210,12.36,9.0,2.51,2.06
181,12.85,9.0,1.9,2.55
36,70.3,50.0,0.6,20.0
256,24.44,17.5,3.5,5.64
112,11.3,5.0,0.9,5.0
112,10.38,7.0,1.24,2.08
123,22.81,21.5,5.68,0.01
33,6.96,4.5,0.58,1.16
256,20.13,17.0,3.71,1.83
80,20.38,15.0,4.37,4.08
66,13.39,9.0,1.59,3.09
255,23.16,18.0,4.62,3.86
80,10.0,6.5,1.23,2.2
255,54.36,45.0,3.85,9.06
189,9.96,7.0,1.13,1.66
112,25.56,20.0,4.97,4.26
133,24.75,18.5,4.3,4.95
112,23.76,18.5,4.09,3.96
256,18.5,13.5,2.96,3.7
112,32.24,23.5,4.62,7.44
80,9.8,7.5,1.52,1.0
25,11.16,8.0,1.98,1.86
61,10.56,7.5,1.04,1.76
189,8.8,6.5,0.96,1.0
106,8.16,5.5,1.03,1.36
62,20.76,16.0,4.14,3.46
80,16.3,14.0,4.19,1.0
181,9.49,6.0,1.23,2.19
112,30.38,23.0,6.26,6.08
112,25.38,19.0,6.24,5.08
14,34.84,25.5,5.87,8.04
33,17.29,12.0,2.52,3.99
181,9.12,6.0,1.08,1.82
61,14.75,10.5,2.1,2.95
255,28.38,24.5,6.8,2.58
36,21.8,19.5,4.5,1.0
