DOLocationID,total_amount,fare_amount,trip_distance,tip_amount
1,70.05,53.0,18.0,3.0
1,97.8,82.0,24.31,5.0
1,106.92,77.0,21.27,10.0
1,100.55,54.5,18.52,30.0
1,109.3,89.5,26.46,7.0
1,105.66,85.0,16.82,17.61
1,127.1,85.5,30.5,21.18
1,97.95,66.0,16.44,19.2
1,109.12,75.5,21.09,21.82
1,83.16,58.5,15.05,13.86
1,110.45,79.5,22.79,18.41
1,116.16,86.0,26.05,19.36
1,150.66,110.0,14.95,25.11
1,123.25,71.5,26.24,24.26
1,145.0,80.5,23.85,33.46
1,112.3,86.5,26.26,15.0
1,133.19,91.5,27.64,26.64
1,96.05,76.5,21.4,7.0
1,129.8,90.0,26.51,21.63
1,95.01,65.0,17.49,15.51
1,129.66,91.0,27.38,21.61
1,117.66,86.0,26.06,19.61
1,102.67,79.5,23.21,5.0
1,117.66,84.0,22.94,19.61
1,114.66,83.5,24.29,19.11
1,69.51,41.0,14.35,11.26
1,81.62,50.0,16.46,16.32
1,125.69,88.5,26.07,25.14
1,112.86,82.0,24.32,18.81
1,116.46,85.0,25.61,19.41
1,115.26,81.0,24.03,19.21
1,87.06,60.0,15.26,14.51
1,95.05,64.0,16.3,19.0
1,121.86,87.5,26.57,20.31
1,102.05,79.5,23.41,10.0
1,80.31,47.0,16.62,12.56
1,83.59,47.0,15.93,19.29
1,120.06,86.0,26.05,20.01
1,101.55,75.5,18.14,12.0
1,120.06,87.5,26.76,20.01
1,109.55,92.0,27.56,3.0
1,108.2,71.0,18.63,18.03
1,119.46,84.5,24.33,19.91
1,122.81,97.5,30.25,19.56
1,85.59,63.0,23.42,7.6
1,120.66,88.5,26.22,20.11
1,108.94,68.5,20.51,25.14
1,124.26,88.5,26.11,20.71
1,118.15,82.0,24.4,23.6
1,149.16,75.0,25.71,24.86
1,62.05,57.0,21.2,1.5
1,125.01,86.0,26.04,20.01
1,129.06,95.5,28.37,21.51
1,88.55,63.5,15.28,10.0
1,121.86,87.5,26.3,20.31
1,140.75,85.0,24.77,23.46
1,125.06,85.0,25.74,25.01
1,84.55,62.5,15.53,10.0
1,105.55,88.5,26.91,5.0
1,110.05,76.0,20.81,20.0
1,127.26,93.5,29.07,21.21
1,93.8,62.5,15.19,13.0
1,139.26,104.0,32.1,23.21
1,101.31,66.0,15.21,20.26
1,103.05,86.0,15.25,14.0
1,106.26,74.0,27.68,17.71
1,99.66,68.5,25.7,16.61
1,123.66,100.0,15.25,20.61
1,61.25,47.5,15.7,10.2
1,89.55,70.5,15.61,5.0
1,110.05,83.0,22.3,15.0
1,120.05,95.0,28.66,13.0
1,114.55,95.5,27.47,5.0
1,107.65,74.0,20.7,17.9
1,85.55,56.0,14.5,14.25
1,123.35,78.5,23.37,20.56
1,135.66,98.0,28.88,22.61
1,120.35,76.0,20.9,20.06
1,79.56,51.0,17.73,13.26
1,103.86,72.5,18.34,17.31
1,178.86,146.0,16.02,29.81
1,109.86,77.5,17.78,18.31
1,118.05,88.0,26.32,16.0
1,79.11,49.0,16.14,12.86
1,108.05,77.5,21.49,18.01
1,108.36,89.0,26.4,18.06
1,62.96,49.5,16.07,7.96
1,110.06,75.5,27.87,22.01
1,115.05,86.0,25.9,15.0
1,103.19,68.0,25.54,20.64
1,114.55,87.5,25.86,15.0
1,137.46,100.5,30.95,22.91
1,116.62,76.0,15.37,23.32
1,94.26,64.5,14.73,15.71
1,123.06,88.0,33.22,20.51
1,125.55,104.5,30.91,7.0
1,95.55,78.5,23.47,5.0
1,124.86,90.0,26.37,20.81
1,88.56,61.0,15.53,14.76
1,87.6,66.0,15.95,5.6
1,85.55,63.5,15.3,8.0
1,123.17,95.0,28.08,10.0
1,125.4,93.5,28.75,10.0
1,102.05,78.0,21.71,12.0
1,157.25,107.0,31.2,26.2
1,140.06,100.0,28.15,28.01
1,142.71,100.0,16.26,23.46
1,131.05,102.0,27.7,15.0
1,135.55,97.0,25.82,23.5
1,117.55,87.5,23.69,15.0
1,93.51,61.0,22.17,15.26
1,100.05,74.0,20.46,12.0
1,103.19,68.5,16.48,20.64
1,112.3,81.5,23.94,10.0
1,148.31,106.5,21.02,21.56
1,102.96,68.5,14.54,17.16
1,164.46,122.0,26.85,27.41
1,143.55,89.5,27.27,40.0
1,90.66,61.5,15.49,15.11
1,90.36,75.0,23.64,15.06
1,90.05,70.5,19.04,5.0
1,77.16,46.0,14.83,12.86
1,100.32,100.0,24.77,0.02
1,108.97,82.0,22.4,3.17
1,93.05,51.5,18.43,14.68
1,99.05,71.0,26.71,15.0
1,132.34,83.0,24.4,22.05
1,95.31,45.0,16.36,15.56
1,217.86,155.0,15.77,36.31
1,127.86,94.5,26.98,21.31
1,110.16,74.0,15.15,18.36
1,125.31,87.0,21.74,20.56
1,89.91,56.0,17.29,14.66
1,90.06,61.0,15.03,15.01
1,116.76,80.0,15.38,19.46
1,103.86,72.5,15.98,17.31
1,108.05,81.0,23.88,15.0
1,93.19,62.5,15.9,18.64
1,117.96,87.5,26.35,19.66
1,141.31,98.0,26.97,28.26
1,119.01,85.0,25.75,19.51
1,75.3,52.0,15.46,5.0
1,123.66,82.0,22.42,20.61
1,91.86,64.5,15.36,15.31
1,118.55,93.5,27.8,11.0
1,93.06,63.5,15.53,15.51
1,106.8,89.0,24.2,17.8
1,107.4,80.0,29.03,10.1
1,96.5,79.5,23.68,1.0
1,94.25,53.5,18.01,15.38
1,116.31,79.0,20.22,23.26
1,108.55,81.5,23.42,13.0
1,132.79,81.5,22.81,25.0
1,103.41,72.0,26.64,16.91
1,106.25,76.5,20.4,17.7
1,113.79,84.5,23.9,5.0
1,95.05,71.0,15.1,10.0
1,102.41,74.5,19.68,13.36
1,120.36,100.0,28.28,20.06
1,108.05,82.0,24.22,11.0
1,124.05,92.0,27.89,20.0
1,105.8,85.0,25.68,10.0
1,124.35,93.0,28.44,18.8
1,114.06,82.5,24.76,19.01
1,111.55,87.5,26.33,10.0
1,116.3,80.5,23.29,23.26
1,118.55,89.5,27.14,15.0
1,129.35,81.0,23.57,21.56
1,105.05,86.0,26.12,5.0
1,90.05,67.5,25.39,10.0
1,129.66,93.0,27.99,21.61
1,132.47,80.5,24.09,22.08
1,96.31,65.0,15.41,19.26
1,128.46,92.0,27.68,21.41
1,153.91,80.0,23.51,20.0
1,78.96,47.5,15.09,13.16
1,89.77,58.63,25.98,14.14
1,117.56,80.0,20.9,23.51
1,118.86,87.0,26.2,19.81
1,113.05,86.0,26.09,15.0
1,102.8,72.5,15.4,15.0
1,72.59,44.07,17.77,11.77
1,112.85,79.0,23.3,18.8
1,96.88,86.5,25.97,10.08
1,95.46,65.5,16.69,15.91
1,79.33,45.18,16.34,12.4
1,118.86,85.0,25.71,19.81
1,127.86,94.5,28.27,21.31
1,108.06,87.0,29.04,18.01
1,44.76,36.5,13.63,7.46
1,86.8,49.5,16.0,20.0
1,144.55,80.5,23.94,50.0
1,101.05,77.0,21.84,10.0
1,75.36,47.5,15.49,12.56
1,120.06,88.0,26.99,20.01
1,73.54,48.28,16.06,6.51
1,99.67,54.88,19.24,16.29
1,95.31,60.5,21.39,15.56
1,130.05,105.0,32.94,10.0
1,125.46,90.5,27.77,20.91
1,111.66,79.0,23.35,18.61
1,101.3,100.0,25.49,1.0
1,64.36,44.0,15.27,3.06
