DOLocationID,total_amount,fare_amount,trip_distance,tip_amount
206,64.45,42.5,14.9,8.41
187,71.3,43.5,16.04,14.26
214,71.0,44.0,15.95,11.51
23,24.36,20.0,8.31,4.06
214,41.92,20.5,6.03,8.38
251,75.45,44.5,15.43,17.41
109,121.25,88.0,32.25,20.21
221,10.56,7.5,1.59,1.76
206,11.16,8.5,1.94,1.86
221,70.68,43.0,15.51,14.14
245,56.54,36.5,11.9,7.0
176,103.49,66.0,23.65,20.7
115,53.92,36.0,12.24,4.88
172,66.35,37.5,13.12,15.31
23,104.04,81.0,29.27,10.0
245,57.65,35.0,12.68,9.61
245,62.54,35.0,12.11,14.0
251,64.71,42.0,14.22,6.72
251,66.95,44.0,14.82,6.96
23,141.04,76.0,28.2,23.5
214,40.05,19.0,5.9,8.01
187,23.5,18.0,6.3,4.7
109,47.04,33.0,10.96,1.0
214,39.42,18.5,5.83,7.88
118,111.34,76.0,26.1,18.55
214,38.8,18.0,5.83,7.76
206,103.55,90.5,33.69,0.01
214,38.8,18.0,5.85,7.76
118,114.94,79.5,28.9,19.15
214,40.05,19.0,5.94,8.01
214,38.18,17.5,5.83,7.64
221,17.25,12.0,2.82,3.45
118,107.74,73.0,26.2,17.95
172,101.29,62.0,22.66,16.88
206,7.38,6.5,1.46,0.08
206,125.3,120.0,30.01,5.0
187,56.54,36.0,13.4,7.0
118,110.89,69.5,26.25,18.48
214,106.69,67.0,22.53,17.78
156,70.04,56.0,18.9,1.0
214,57.05,34.0,12.03,9.51
118,61.12,37.5,12.84,10.08
206,26.8,23.0,7.4,2.0
245,13.3,8.5,1.8,3.0
115,72.36,60.0,10.73,12.06
118,103.55,70.0,26.01,17.26
251,130.3,115.0,17.71,15.0
206,16.56,12.5,3.74,2.76
6,31.85,13.5,3.9,5.31
5,133.09,89.0,30.74,22.18
156,20.0,16.5,5.2,2.2
214,57.54,35.5,11.86,8.0
172,65.05,38.5,13.33,13.01
6,56.0,32.0,10.13,9.01
206,64.85,41.0,14.13,10.81
176,70.55,44.63,15.74,11.43
156,97.79,81.0,31.04,2.75
156,98.79,82.0,30.56,2.75
251,96.79,81.0,30.63,2.75
251,97.79,81.0,31.07,2.75
156,97.79,82.0,31.05,2.75
156,98.29,82.5,31.18,2.75
156,97.29,80.5,29.75,2.75
156,98.79,82.0,31.08,2.75
115,30.55,27.0,8.51,2.75
156,98.79,82.0,31.33,2.75
156,38.05,34.5,9.18,2.75
206,20.55,16.0,2.49,2.75
115,25.55,21.0,6.38,2.75
118,55.44,40.15,15.0,2.75
115,46.69,31.4,11.69,2.75
115,63.44,48.15,18.89,2.75
23,90.85,75.56,31.74,2.75
206,53.34,31.41,10.2,8.89
