,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Multiple Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount', 'total_amount']",0.739628069672106,0.4645817965695469,0.457417353586411,-0.27115717920821264,0.894540443259533,-1.3986755496083536,2.991831258197431,"test_size = 0.2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Multiple Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.7435932343409857,0.46057719031195943,0.4515841610349798,-0.295251639579754,0.9349839902782734,-1.4911278592089294,3.18537313968975,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Multiple Linear Regression,"['trip_distance', 'fare_amount', 'total_amount']",0.7452921746063841,0.4585465266767337,0.44907528898527793,-0.29703670993760833,0.916508952494433,-1.4491726308246577,3.0587422575278413,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Multiple Linear Regression,"['fare_amount', 'total_amount']",0.7486905505244194,0.45501267305588244,0.44403963218813813,-0.31704073172846675,0.9510200580010499,-1.5272166073864137,3.224351564188405,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Multiple Linear Regression,"['DOLocationID', 'trip_distance', 'total_amount']",0.8541713729163201,0.255928707205778,0.2763490203280742,-0.6285144450977949,1.1670456033715493,-1.9592960378211834,3.8225731958149423,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Multiple Linear Regression,"['trip_distance', 'total_amount']",0.8634967229932322,0.24419870147416411,0.2604619607766854,-0.6592156238147022,1.1882326854674359,-1.9778633690907863,3.817998510176033,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Multiple Linear Regression,"['DOLocationID', 'total_amount']",0.8723558391508494,0.22190848821486375,0.2452094141660326,-0.4182454013264047,0.7744785785912925,-1.1968593166412458,2.2652942158150693,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Simple Linear Regression,['total_amount'],0.8803389172403593,0.21151396531588107,0.23133176849053183,-0.44611089897690404,0.7929988346064925,-1.2186664462409815,2.269248139334623,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Multiple Linear Regression,"['DOLocationID', 'fare_amount']",0.9193200653082094,0.13293722903409022,0.16175184062436165,-0.2652697435010839,0.4865854677752634,-0.7624108887915408,1.4483916086046522,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Multiple Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount']",0.9195215837076575,0.1335837328334637,0.16138430607789178,-0.26197083798447246,0.4797135677161035,-0.7518601359908943,1.4216141085302136,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Multiple Linear Regression,"['trip_distance', 'fare_amount']",0.9310527613408736,0.11707992105391096,0.14021925458235496,-0.2678746283459503,0.4609443606551613,-0.7058893206213435,1.2976691193334422,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Simple Linear Regression,['fare_amount'],0.9310614496333054,0.11593606283298286,0.1402032080988309,-0.2737282961276238,0.472657342440556,-0.7228084687985229,1.339653244826235,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Multiple Linear Regression,"['DOLocationID', 'trip_distance']",0.9330896930105228,0.11732222411791782,0.1364531299519891,-0.2656258971801296,0.4835500946969372,-0.825437860136406,1.5748204935291752,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Simple Linear Regression,['trip_distance'],0.9450036889627869,0.09994658320842975,0.11426024506347132,-0.27247882052183037,0.46637088732379045,-0.7973962980508306,1.4887066197628769,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Simple Linear Regression,['DOLocationID'],0.9809985079829315,0.035112980164890395,0.04550023960737504,-0.0960337619035127,0.17471912724587493,-0.3201868539631155,0.6087856519763211,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
