,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Polynomial Linear Regression,"['trip_distance', 'fare_amount', 'total_amount']",0.5750988061050704,0.6772006109638724,0.6719620705333956,-1.4731982887033905,1.8247247709669354,-3.0489538159922502,4.33848583228643,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount', 'total_amount']",0.5971738678945208,0.6373699427819975,0.6462953903332201,-0.21507170739872336,0.8010285969905594,-1.4768108809592033,3.240025748770312,"test_size = 0.2, Degree = 3, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Polynomial Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.6011156732491336,0.6553679277998479,0.6416105361941511,-1.6003555821965616,1.97490637886384,-2.8109975853115174,3.366362437158685,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Polynomial Linear Regression,"['fare_amount', 'total_amount']",0.6091965505367752,0.6366442827270544,0.6319100151673378,-1.133152064425179,1.5851553117935537,-2.2554277815413797,3.0002171596065126,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Polynomial Linear Regression,"['trip_distance', 'fare_amount', 'total_amount']",0.6128316605606049,0.6264337778375213,0.627504081828039,-0.3574683749377862,0.9134041630312849,-1.8102210988089513,3.7429454235127926,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Polynomial Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.6327629566637697,0.5998775617428174,0.6028804905411336,-0.346172982832022,0.7797014801123789,-1.5486485012256166,3.173128784353764,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Polynomial Linear Regression,"['fare_amount', 'total_amount']",0.6511623583040044,0.5834709362707637,0.579449934693022,-0.48939273174355635,0.8562874584413481,-1.8089423743556967,3.489429098812158,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount', 'total_amount']",0.660918760118509,0.5744077309668727,0.5667532745705018,-0.08053592854742975,0.8015201187305555,-1.2244632384069654,2.889774998880385,"test_size = 0.2, Degree = 2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Polynomial Linear Regression,"['trip_distance', 'fare_amount', 'total_amount']",0.6687821375827014,0.5685839967844952,0.5563827144038282,-0.0930224472136667,0.8058159342396971,-1.2229917245194604,2.8647789605488834,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Polynomial Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.6812569139543817,0.5537941101111307,0.5396788009875433,-0.18048105894174704,0.9190019427632573,-1.4895624935220968,3.362342593017588,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Polynomial Linear Regression,"['fare_amount', 'total_amount']",0.6892085142567375,0.5475176900298593,0.5288703923484619,-0.2037956907909807,0.9392739720444593,-1.5279702394189858,3.4132165530801264,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount', 'total_amount']",0.6980438404416155,0.6963429241485974,0.5167136506750641,-1.7715993601354076,1.6928974911062304,-3.4713392046003504,4.546554406696345,"test_size = 0.2, Degree = 4, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'total_amount']",0.7861695279177596,0.36613588489121573,0.38698437688680176,-0.6119533022084755,1.3339147635977633,-2.2913550513119403,4.7722973202531875,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'total_amount']",0.7919020791508266,0.35436482248211976,0.3780118704036909,-0.5794061932673108,1.3281498184747078,-2.251422076769191,4.748201129295457,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Polynomial Linear Regression,"['trip_distance', 'total_amount']",0.8088982166559291,0.33519536159210905,0.3510266156780756,-0.6992334706368948,1.2878840814686006,-2.259074262792234,4.505269160479563,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
15,Polynomial Linear Regression,"['trip_distance', 'total_amount']",0.8109998857704961,0.3299227831495025,0.34764992585669385,-0.6433058149193119,1.350032877909559,-2.226770628122894,4.601915612599896,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
16,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'total_amount']",0.822837814454771,0.30715162839818666,0.3284666062566727,-0.6738251177222381,1.393839333384013,-2.467525007347314,5.040612646123057,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
17,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",0.8305152923081154,0.2874888620291852,0.31587667617874104,-0.1938215659937327,0.5675995978427896,-0.8623632399833199,1.8357812401881488,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
18,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",0.8352288159118666,0.27752953829137295,0.3080892650750463,-0.20104900732083214,0.5614955751569108,-0.8266671674949675,1.7460833331339802,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
19,Polynomial Linear Regression,"['trip_distance', 'total_amount']",0.8365778616129679,0.2935432586669462,0.3058523378877349,-0.7092995433446505,1.4259419068400963,-2.4450737985604585,4.968006986547255,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
