,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Polynomial Linear Regression,"['DOLocationID', 'total_amount', 'fare_amount', 'trip_distance']",0.4593311462529656,0.7898625964641026,0.7891877138288211,0.683632837366286,0.22558145892272521,0.6292952564715156,0.3736470163101654,"test_size = 0.2, Degree = 3, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Polynomial Linear Regression,"['total_amount', 'fare_amount', 'trip_distance']",0.4656806384880387,0.7868454646376396,0.783319169489602,0.6871127005774521,0.22696370313463746,0.632727640159845,0.3730175796524815,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Polynomial Linear Regression,"['DOLocationID', 'total_amount', 'fare_amount']",0.47058657454429015,0.7830737394707983,0.778729664709156,0.6339492051085469,0.3005169504487529,0.5579318695414951,0.5057329952850089,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Polynomial Linear Regression,"['total_amount', 'fare_amount']",0.4737286639932549,0.7751626624711994,0.7757649721018196,0.6355758151943907,0.316315409710174,0.5561888127843901,0.5271193955929863,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Polynomial Linear Regression,"['DOLocationID', 'total_amount', 'fare_amount']",0.47756184095147075,0.77173311337595,0.7721214940398896,0.6641275416027281,0.2632112775621016,0.6007999247500433,0.43370785325501365,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Polynomial Linear Regression,"['total_amount', 'fare_amount']",0.47912594701587874,0.7684907423178059,0.7706263585231709,0.6701621747969593,0.25355050277573926,0.6095967879958035,0.4174150399838963,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Polynomial Linear Regression,"['DOLocationID', 'total_amount', 'fare_amount', 'trip_distance']",0.4871033529798531,0.761863129590546,0.7629246686898368,0.6327334121828017,0.29328142172976346,0.5655290374685931,0.4764837656213554,"test_size = 0.2, Degree = 2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Polynomial Linear Regression,"['total_amount', 'fare_amount', 'trip_distance']",0.488501861050311,0.76046240943054,0.7615613944838255,0.6384630982113646,0.2829936914257419,0.5734203435796303,0.46051795021679565,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Polynomial Linear Regression,"['DOLocationID', 'total_amount', 'fare_amount']",0.496274530703378,0.7538852934257739,0.7539133225017656,0.6171683674610109,0.3096295754761274,0.5451317431492623,0.5065112982413943,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Polynomial Linear Regression,"['total_amount', 'fare_amount']",0.4980960659397667,0.7523227198713769,0.7521035250238255,0.6199448462608471,0.3042992053168071,0.5493856931129462,0.4977178034715663,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
