,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount', 'total_amount']",0.4671099712765458,0.7821591003350914,0.78234313015348,0.760729291951542,0.06735170923224319,0.7586113082164667,0.08315877649699052,"test_size = 0.2, Degree = 3, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Polynomial Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.4737137710393714,0.7755042865939524,0.7761453485606475,0.7606991046432722,0.06961870601518158,0.7589660788769865,0.08441148846711236,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Polynomial Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.4837039644688315,0.7910297775050648,0.7666040064454294,0.7341737021255046,0.10280976974369206,0.6931049695155271,0.19883872703759978,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Polynomial Linear Regression,"['fare_amount', 'total_amount']",0.49100552410691395,0.7558864483721794,0.7595045527070846,0.7078350651724187,0.09214623288052728,0.7075664677551355,0.11112710853023133,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount', 'total_amount']",0.4918196520556325,0.7570709405509496,0.758706368666488,0.742468400866866,0.06932127683495828,0.7414946324329997,0.08304934588502975,"test_size = 0.2, Degree = 2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Polynomial Linear Regression,"['trip_distance', 'fare_amount', 'total_amount']",0.4932577574313146,0.7536087010777627,0.7572931961838862,0.7285783922952193,0.07864202964027772,0.7262714225568925,0.09627894829675455,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Polynomial Linear Regression,"['trip_distance', 'fare_amount', 'total_amount']",0.49433543099763844,0.7677634210093728,0.7562315020465258,0.6235484748034835,0.1696884216205563,0.6344016591160218,0.1874622447482309,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Polynomial Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.4964930479021534,0.7518201150449467,0.7540989142494487,0.7349139755144636,0.07526905398331124,0.7337210279989702,0.0905369642341148,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Polynomial Linear Regression,"['fare_amount', 'total_amount']",0.500133801862453,0.7465775725576342,0.7504793356094402,0.7346955683322158,0.06804626014443202,0.7330547181970408,0.08290388428997202,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Polynomial Linear Regression,"['trip_distance', 'fare_amount', 'total_amount']",0.5124410810415954,0.7350741168479451,0.7380478421554565,0.7240001493076276,0.064418199169192,0.7230182076175149,0.07695728609240396,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Polynomial Linear Regression,"['fare_amount', 'total_amount']",0.5167907833878401,0.7300835890638296,0.7335819640497765,0.7176941713200773,0.06831303387869574,0.7165175364153528,0.08206340619332358,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'total_amount']",0.5605237156871603,0.6819327233956506,0.6865833332852543,0.6572742580994508,0.10095083041506844,0.6559182705433233,0.11945152511028777,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Polynomial Linear Regression,"['trip_distance', 'total_amount']",0.5632771720554349,0.6780988758075832,0.6834965817507842,0.6357272879098107,0.130735938967139,0.6299612980043361,0.16250531627549103,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'total_amount']",0.566717368261402,0.6877775724991835,0.6796187080476305,0.6378507949610516,0.13511673948261363,0.6355589995741134,0.16452231243187923,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
