,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount', 'total_amount']",0.44881939989042424,0.8268337286896297,0.796003339965974,0.726783116779149,0.15250369019786986,0.723631073014415,0.20602357324135537,"test_size = 0.2, Degree = 4, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Polynomial Linear Regression,"['fare_amount', 'total_amount']",0.449932293179475,0.8001445960921328,0.794990424830637,0.7426809773673237,0.13961909278933798,0.7354637827515447,0.18244823981111638,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Polynomial Linear Regression,"['trip_distance', 'fare_amount', 'total_amount']",0.45457484281226207,0.8085287075921865,0.7907378852116007,0.7234102557772503,0.15903361298561194,0.7134816759492838,0.205391197183697,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Polynomial Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.4554084060267929,0.8169687024853867,0.7899697250957791,0.7529265175228486,0.14086226967024176,0.7457884200306502,0.18163902566371526,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Polynomial Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.4595328485862571,0.7914386890659632,0.7861481861890234,0.7304630459854121,0.15654047252238576,0.7212105062726366,0.2021041217550671,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount', 'total_amount']",0.4605123814928818,0.8034553491094254,0.785235528275301,0.7249035823166612,0.16859338096158194,0.7153421800209356,0.21656193753848393,"test_size = 0.2, Degree = 3, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Polynomial Linear Regression,"['fare_amount', 'total_amount']",0.47063194534880354,0.7798171826771184,0.7756931064158429,0.7228876140080632,0.1597445877014737,0.7129919316134083,0.20713749418362545,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount', 'total_amount']",0.4720992002710975,0.7788701012771029,0.774292315727858,0.7145552383254232,0.16300940188499297,0.7054801049904722,0.2082995137049591,"test_size = 0.2, Degree = 2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Polynomial Linear Regression,"['trip_distance', 'fare_amount', 'total_amount']",0.4728331845948091,0.7894850462633626,0.7735899434961616,0.7219719298716836,0.1647845572644222,0.7116437771715678,0.21277635416331478,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Polynomial Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.47380882872795155,0.7763679375450769,0.7726546303726979,0.718622628331674,0.158874554349249,0.7097196686154955,0.20346266340489452,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Polynomial Linear Regression,"['trip_distance', 'fare_amount', 'total_amount']",0.4794549484303709,0.772325224345196,0.7672040469943171,0.7106878366446332,0.16446252117710636,0.7013405722127037,0.21094570793031026,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Polynomial Linear Regression,"['fare_amount', 'total_amount']",0.4804865777356937,0.7706982164727986,0.7662011686226065,0.713250678287034,0.162658592037566,0.7041085036741599,0.20860533280905855,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
