,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Multiple Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount', 'total_amount']",0.6054454802380381,0.5959518509390906,0.5713898112496993,-7.920743079285036,13.238878312875512,-4.6784971787710745,9.6080030150456,"test_size = 0.2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Multiple Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.6398486839547093,0.5710890336541639,0.5212960954228367,-5.475656452744544,8.901776315856651,-3.5631802756517343,7.325945866826419,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Multiple Linear Regression,"['DOLocationID', 'trip_distance', 'total_amount']",0.6501131217304166,0.5084346860301675,0.5058141894455666,-14.234595551451159,24.13321917859822,-9.424672243120552,18.882189313490446,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Multiple Linear Regression,"['trip_distance', 'fare_amount', 'total_amount']",0.6747876358722833,0.5237664716614704,0.4675894647586647,-10.62652560756561,17.92524033934345,-5.8246031551549144,11.830621041185532,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Multiple Linear Regression,"['DOLocationID', 'total_amount']",0.724581855432568,0.44548104968897606,0.38611458296874446,-7.3636253296841865,12.068359110404849,-5.2594492757118365,10.419731956759989,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Multiple Linear Regression,"['fare_amount', 'total_amount']",0.7322364206580351,0.47488905046689445,0.3730757621567412,-6.466528688164566,10.594036144775256,-3.7493837018202862,7.603896894071847,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Multiple Linear Regression,"['trip_distance', 'total_amount']",0.7466897948543433,0.28008268661898017,0.34808219975185684,-27.800569180528363,47.48011315790511,-18.797906514572166,37.37540643471366,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Multiple Linear Regression,"['DOLocationID', 'fare_amount']",0.7585534673567358,0.4043498278819262,0.3272018269131517,-7.371670010266566,12.153086138202287,-5.346610299687909,10.550725350804008,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Multiple Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount']",0.7588839516417859,0.4044701925798879,0.3266154538517776,-7.4671175459173105,12.320377723204212,-5.391393895843516,10.639126859643614,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Multiple Linear Regression,"['DOLocationID', 'trip_distance']",0.7627192992668912,0.40179194748437463,0.31979177516555324,-7.338518225527286,12.117887949318845,-5.355206889489181,10.584255000868604,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Simple Linear Regression,['DOLocationID'],0.7870871833891687,0.3716521316707495,0.2756339473468,-6.217167518302046,10.24093466410644,-4.441294250449981,8.776490642249668,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Simple Linear Regression,['total_amount'],0.9200424417829052,0.027356196955025447,0.010244026294630948,-6.922850096531457,10.858326552034246,-3.5177733839477208,6.4818379442656795,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Simple Linear Regression,['trip_distance'],0.9320687776991959,0.0003924355014911507,-0.015800280383347465,-5.204253775633746,7.938541562417448,-2.7789386887837653,5.057251407905253,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Simple Linear Regression,['fare_amount'],0.9325590700087276,0.0006690626301983915,-0.016869235954294792,-5.243359933749247,8.009301170713487,-2.7849591105742695,5.06457339827467,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Multiple Linear Regression,"['trip_distance', 'fare_amount']",0.9334092734381316,0.0008699719041779241,-0.018724217236864238,-5.397949319423736,8.259543145498712,-2.8453940576143637,5.180143135920988,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
