,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Multiple Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.6888808005547197,0.6255014090773203,0.4984482480821738,0.39828515417316707,0.4492748495757579,0.4000786287213187,0.5109692585063195,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Multiple Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount', 'total_amount']",0.6904105702461196,0.6268691829410099,0.4962182234443603,0.39123358918183976,0.45701193486480834,0.39382431727315265,0.5185138108613677,"test_size = 0.2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Multiple Linear Regression,"['trip_distance', 'fare_amount', 'total_amount']",0.6933823644888659,0.6259040485694094,0.4918719461024855,0.3927570878735877,0.4512363056950371,0.3958172457693278,0.5115738398495825,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Multiple Linear Regression,"['fare_amount', 'total_amount']",0.695175825572922,0.620350372256544,0.48923995975792256,0.3855649654302106,0.4651903926699361,0.38919724328903144,0.5290759603313712,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Multiple Linear Regression,"['trip_distance', 'total_amount']",0.7356605399293018,0.4420766497627592,0.4280178010626777,0.1555973026295778,0.5934227729470575,0.16940241927682562,0.6489482550968035,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Multiple Linear Regression,"['DOLocationID', 'trip_distance', 'total_amount']",0.7366465507954897,0.44356011196557554,0.42648351021421727,0.1553245793052615,0.595965247966154,0.16690345597400688,0.6565121025807975,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Multiple Linear Regression,"['DOLocationID', 'total_amount']",0.7426333333285873,0.4408428074219849,0.41712360556862615,0.165218291971404,0.5886324158004437,0.17427505168156682,0.6522608576608407,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Simple Linear Regression,['total_amount'],0.7483105707032772,0.43192039972677465,0.40817766627554053,0.1462915310413927,0.6153150108902342,0.1553178997018097,0.6830401429432386,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Multiple Linear Regression,"['trip_distance', 'fare_amount']",0.8678776505423159,0.28127270712989116,0.2039422053183294,-0.10671332502719044,0.7535827248555587,-0.07834857769269946,0.807743720522162,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Multiple Linear Regression,"['DOLocationID', 'fare_amount']",0.8682938105750163,0.28001752380127054,0.20317857955553653,-0.08172368342149641,0.7162405819274078,-0.05360386951447058,0.7603940246474168,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Simple Linear Regression,['fare_amount'],0.869200921806888,0.2799091276410993,0.2015128226171331,-0.06258837097255554,0.6897361711043473,-0.0422591027423751,0.7413811664766017,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Multiple Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount']",0.8693938237243974,0.2815995329898845,0.20115836648235585,-0.10693825225068901,0.7535191625511304,-0.07953787162130435,0.8098542308842082,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Multiple Linear Regression,"['DOLocationID', 'trip_distance']",0.9002374060209821,0.1575908936189815,0.14347173538900915,-0.16664804152491988,0.6075293275375083,-0.12432571240380322,0.6317891258474723,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Simple Linear Regression,['trip_distance'],0.9018228130716134,0.15716706197841168,0.14045221702817046,-0.15559862434261656,0.5863938102929528,-0.12108676756686762,0.6247851908959204,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Simple Linear Regression,['DOLocationID'],0.9105297072150172,0.10709632425620408,0.12377461791075994,-0.18118960204176737,0.5459397079734138,-0.12258828593555093,0.5141961211283141,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
