,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Polynomial Linear Regression,"['trip_distance', 'total_amount']",0.7322411118096479,0.49151460998668184,0.4333227111547664,0.2279775702889407,0.5293825788204866,0.23335122951699883,0.5846551399685371,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'total_amount']",0.7324752419762193,0.4940037402955375,0.43296026917452624,0.23404245329031914,0.5075303811915259,0.2412384742367605,0.5602222417321554,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",0.7383548440946758,0.45976484710160825,0.4238204409741879,0.1783299189310334,0.573632462989441,0.19015134043856313,0.6387308915452271,"test_size = 0.2, Degree = 2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'total_amount']",0.7395096888143454,0.5184879118143123,0.42201665166111724,0.26886640250223404,0.4592338215460278,0.26541613108484496,0.5210705832276301,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",0.7396537957804517,0.4707268390560827,0.42179136849450916,0.18686521798244374,0.562427928667985,0.196518991420848,0.6275871999694825,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Polynomial Linear Regression,"['trip_distance', 'total_amount']",0.7405168612183058,0.5232339708565942,0.4204412151217154,0.2524953553055677,0.47458844364466773,0.2557057557192925,0.5266257190782744,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Polynomial Linear Regression,"['trip_distance', 'total_amount']",0.7409737679962572,0.5137807007682018,0.4197258066159799,0.25769853966805106,0.48425981960884296,0.25846568971713285,0.5412845150537363,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Polynomial Linear Regression,"['DOLocationID', 'total_amount']",0.7412434657702136,0.4724249016994174,0.41930331624993666,0.1850709698330232,0.557612406466421,0.18866639076441105,0.6402120514123952,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Polynomial Linear Regression,['total_amount'],0.7430913601149878,0.45485451835748314,0.4164043937611176,0.17416135352081535,0.6029757908778102,0.17856292580672672,0.6801271404682177,"test_size = 0.2, Degree = 2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Polynomial Linear Regression,['total_amount'],0.7433629552469921,0.46652514537203804,0.4159777148898365,0.18400674162961547,0.5831854730314503,0.19134730033816005,0.6532351777296386,"test_size = 0.2, Degree = 3, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
