DOLocationID,total_amount,fare_amount,trip_distance,tip_amount
264,4.81,3.5,1.18,0.01
264,15.55,5.55,0.28,10.0
264,85.3,81.0,0.03,4.0
264,26.0,20.0,0.03,6.0
265,170.67,125.5,9.11,15.0
265,83.16,68.0,25.04,13.86
264,30.36,25.0,0.01,5.06
264,141.3,131.0,0.01,10.0
264,18.0,15.0,0.02,2.7
265,187.7,150.0,45.94,31.28
264,39.0,30.0,0.01,9.0
264,48.36,40.0,3.57,8.06
264,24.36,20.0,0.03,4.06
264,168.36,140.0,0.2,28.06
265,40.41,40.0,0.04,0.11
264,56.3,55.0,0.12,1.0
265,71.0,70.0,0.11,0.7
265,71.8,70.0,13.23,1.0
264,60.36,50.0,0.02,10.06
265,100.25,75.0,7.08,10.0
264,18.36,15.0,0.01,3.06
264,84.0,70.0,0.03,14.0
264,75.38,60.0,0.13,15.08
265,33.85,32.0,11.26,0.05
265,32.8,30.0,8.73,2.0
264,53.25,42.3,0.01,10.65
265,277.88,221.0,44.37,55.58
264,16.62,12.5,3.41,3.32
264,6.96,5.0,0.8,1.16
265,64.8,61.0,22.56,3.0
265,41.32,40.5,13.42,0.02
265,26.3,23.5,8.08,2.0
265,135.96,111.5,29.23,22.66
265,56.16,45.0,12.17,9.36
264,30.36,25.0,0.01,5.06
265,52.86,27.0,5.92,8.81
264,9.96,8.0,0.01,1.66
265,40.56,32.5,10.95,6.76
264,17.16,13.0,3.07,2.86
265,35.0,30.5,7.44,3.7
264,8.0,7.0,0.02,0.7
264,9.49,7.0,0.01,2.19
264,7.56,5.5,0.7,1.26
265,95.3,80.0,19.16,15.0
264,23.79,18.0,0.01,5.49
264,9.3,8.0,0.12,1.0
264,11.62,9.0,0.02,2.32
265,32.0,22.0,6.47,5.4
264,30.36,25.0,0.01,5.06
264,20.3,16.5,4.27,2.0
264,6.96,4.5,0.77,1.16
264,11.1,10.0,0.01,0.8
264,14.76,12.0,0.01,2.46
265,35.91,27.0,9.37,5.66
265,74.76,61.5,22.14,12.46
265,80.76,46.0,17.08,13.46
265,63.8,60.0,15.02,3.0
265,14.83,14.0,4.57,0.03
265,30.8,27.0,8.26,3.0
265,51.62,40.5,11.48,10.32
264,25.26,17.5,3.37,4.21
264,22.05,17.5,3.8,1.0
264,10.56,8.0,1.58,1.76
264,9.96,8.0,0.01,1.66
265,168.66,125.0,6.44,28.11
264,11.8,2.5,0.07,8.0
265,30.82,25.5,8.94,4.02
265,54.36,44.0,15.76,9.06
265,33.0,30.0,2.6,3.0
265,180.36,150.0,0.15,30.06
265,60.36,50.0,16.36,10.06
264,12.31,11.0,0.04,1.01
265,73.93,70.0,22.54,0.88
265,97.3,74.5,21.26,10.0
265,8.76,6.5,1.4,1.46
265,42.96,35.0,12.25,7.16
264,8.19,6.0,0.03,1.89
265,129.44,87.5,18.32,25.89
264,8.76,6.0,1.22,1.46
265,37.81,36.5,12.7,0.01
264,12.0,10.0,2.49,2.0
265,50.38,39.5,9.71,10.08
265,40.8,7.5,1.69,20.0
265,63.25,52.5,18.41,8.0
264,19.05,14.5,3.55,1.0
265,40.7,37.0,13.76,0.1
264,52.0,45.0,0.03,7.0
264,5.16,2.5,0.01,0.86
264,13.1,9.5,2.02,1.8
265,105.96,87.5,23.01,17.66
264,48.36,40.0,0.04,8.06
265,65.55,54.5,17.81,8.3
265,40.0,35.0,11.96,5.0
264,31.05,23.5,5.15,4.0
265,90.3,82.5,19.95,7.0
265,40.8,38.0,13.32,2.0
265,28.56,23.0,6.19,4.76
265,29.8,25.0,6.04,3.0
264,15.3,14.0,0.06,1.0
264,17.75,14.0,3.4,2.95
265,31.3,26.5,8.18,3.0
264,24.36,20.0,0.19,4.06
265,98.5,77.5,28.75,19.7
265,125.76,103.5,27.15,20.96
264,10.8,2.5,0.01,7.0
264,8.76,7.0,0.21,1.46
264,18.36,15.0,0.02,3.06
265,50.16,40.5,11.37,8.36
265,87.96,72.0,22.49,14.66
264,8.76,6.0,0.8,1.46
264,11.16,9.0,0.06,1.86
265,76.8,67.0,24.84,9.0
265,38.16,31.0,10.85,6.36
265,37.56,30.5,9.63,6.26
265,29.8,26.5,2.24,2.0
265,45.36,36.0,9.1,7.56
264,75.38,60.0,0.04,15.08
264,10.38,8.0,0.01,2.08
264,23.8,20.0,5.34,2.0
264,8.58,6.0,0.73,0.78
265,54.12,41.5,12.54,10.82
265,41.16,32.5,9.0,6.86
265,28.3,26.0,7.96,1.0
264,18.36,15.0,0.02,3.06
264,17.55,13.0,3.11,1.0
265,37.23,32.0,9.9,4.43
265,43.4,42.5,15.25,0.1
264,19.12,14.5,3.59,3.82
265,206.52,168.5,35.14,34.42
264,10.56,7.0,1.07,1.76
264,12.36,10.0,0.01,2.06
265,39.36,31.0,8.86,6.56
265,43.8,40.0,13.15,2.0
264,15.38,10.5,2.01,3.08
264,8.3,6.0,1.01,1.0
264,7.5,4.5,0.7,1.7
264,30.36,25.0,0.01,5.06
265,69.36,56.5,20.86,11.56
264,7.56,6.0,0.04,1.26
264,26.38,20.0,0.1,6.08
265,40.56,33.0,7.66,6.76
264,21.96,18.0,0.04,3.66
265,71.16,58.5,14.95,11.86
265,21.3,18.5,4.79,2.0
264,10.8,9.0,0.03,1.8
264,20.76,17.0,0.12,3.46
265,30.96,24.5,8.38,5.16
264,32.55,26.5,7.17,2.0
265,66.51,38.0,10.5,10.76
264,20.05,14.0,3.93,2.0
265,34.3,30.0,14.69,4.0
265,216.62,172.5,39.2,43.32
264,48.06,39.75,0.01,8.01
265,45.95,36.5,12.2,7.65
264,14.76,12.0,0.02,2.46
265,35.76,29.0,9.38,5.96
265,38.16,31.0,11.16,6.36
265,111.36,91.5,34.3,18.56
265,38.52,28.0,9.35,6.42
264,14.52,11.8,0.01,2.42
264,4.56,2.5,0.01,0.76
265,34.05,20.0,2.56,2.0
264,14.76,12.0,0.13,2.46
264,10.46,2.5,0.02,6.66
264,30.36,25.0,0.04,5.06
264,66.36,55.0,0.02,11.06
265,30.0,25.5,7.46,3.7
265,50.16,41.0,15.18,8.36
265,61.49,46.5,15.33,14.19
265,91.76,76.5,29.35,8.34
264,23.3,20.0,0.1,3.0
265,75.38,59.5,21.52,15.08
265,147.88,117.5,26.91,29.58
265,50.3,45.0,14.46,5.0
265,54.36,44.5,12.56,9.06
265,53.16,43.5,15.16,8.86
265,120.3,111.5,26.68,8.0
265,50.8,45.0,12.79,5.0
265,72.36,60.0,11.41,12.06
265,90.0,85.0,21.53,5.0
264,13.56,11.0,0.01,2.26
265,34.81,34.0,9.7,0.01
265,30.36,24.5,7.5,5.06
265,109.56,90.5,22.39,18.26
265,47.25,37.0,11.8,9.45
265,143.16,118.5,25.85,23.86
264,24.36,19.5,4.16,4.06
