,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.895630924275148,0.17952937340547293,0.23078747122926335,-5922131291.803749,10257432285.982695,-34074785676.183697,68149571351.79572,"test_size = 0.2, Degree = 3, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.8964640647176356,0.17744511862460932,0.2293557204423221,-0.16488816083659433,0.5520376348284184,-0.17617837016548477,0.6709574077379498,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Polynomial Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.8970623802622257,0.34045576549389034,0.22832669465278743,-216251.8095530302,374558.1262916627,-10272003.311698785,20544005.435926057,"test_size = 0.2, Degree = 4, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Polynomial Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.8976006881627184,0.3386221459842632,0.22740028756744313,-0.371681080610193,0.8960923462253744,-0.41661916315958064,1.1247486885320974,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.9012142501234236,0.16629516150142576,0.22116710022951747,-5.463744836413885e+17,9.463483656260952e+17,-4.094440889687145e+17,8.18888177937429e+17,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Polynomial Linear Regression,"['congestion_surcharge', 'total_amount']",0.9022355320678779,0.1642290944730167,0.21940090829948877,-1.9974845089435553e+18,3.459744656822007e+18,-5.805034769185267e+17,1.1610069538370534e+18,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Polynomial Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.9070484938107919,0.3193379166212996,0.21105050700498407,-1.211507157954931e+17,2.0983919513113136e+17,-7443433937312814.0,1.488686787462563e+16,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Polynomial Linear Regression,"['congestion_surcharge', 'total_amount']",0.9075528784393402,0.3171573654157285,0.21017283698019684,-2.658760242869153e+17,4.6051078257935405e+17,-4.480939524981109e+16,8.961879049962218e+16,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Polynomial Linear Regression,"['payment_type', 'total_amount']",0.91966485569577,0.2577900095923833,0.18895048385021873,-0.1940070615524053,0.5724061271938282,-0.20529161778839944,0.6245129644653032,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Polynomial Linear Regression,['total_amount'],0.9202245455138897,0.25545186535197206,0.18796300611494332,-0.19020628276008295,0.5647580830186155,-0.20170660243452554,0.6151803930928709,"test_size = 0.2, Degree = 4, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
