,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge', 'total_amount']",0.7638733285488734,0.0741956080394347,0.12455571304208679,0.0667596573097291,0.04616346283476755,0.0008710039190370445,0.11721042472454378,"test_size = 0.2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge', 'total_amount']",0.7639089302640267,0.07414565540117979,0.12447410777252954,0.0666784208811696,0.046136170415743395,0.000746261434520723,0.11735692715591144,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Multiple Linear Regression,"['payment_type', 'congestion_surcharge', 'total_amount']",0.7650306665212588,0.07257009793519476,0.12190094709588517,0.06439026987537144,0.044501232388870555,-0.0015960515605780712,0.1189466849543393,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Multiple Linear Regression,"['congestion_surcharge', 'total_amount']",0.7650681138267481,0.07252149592583368,0.12181498126549306,0.0643097457189078,0.04447563866131361,-0.0017209322292678075,0.11909424205367626,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'congestion_surcharge']",0.7770434297612926,0.054488185402578826,0.09410803974825166,0.06581321124038955,0.05367049682391282,0.04786982659981272,0.030593267831893898,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Multiple Linear Regression,"['DOLocationID', 'congestion_surcharge']",0.7772680023919936,0.0541343227282175,0.09358434202262267,0.06549766778702754,0.053684888723893175,0.047827036553572365,0.03103574860703664,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Multiple Linear Regression,"['payment_type', 'congestion_surcharge']",0.778840741060487,0.05196846997238169,0.08991251403544942,0.06256552373016758,0.05140225081499514,0.046185018806850685,0.030001524202078498,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Simple Linear Regression,['congestion_surcharge'],0.7790789663341494,0.05160812301830209,0.08935568903556179,0.062240511587873776,0.05141862072731601,0.04613656697496793,0.03049430986131032,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Multiple Linear Regression,"['DOLocationID', 'payment_type', 'total_amount']",0.7886169037199477,0.04118113519272015,0.06692192738594438,0.013855315567251947,0.043613006852762544,-0.07750401219987377,0.21166093295242053,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Multiple Linear Regression,"['DOLocationID', 'total_amount']",0.7886533843527253,0.04112156812662571,0.06683559886402002,0.013759836655332536,0.043647633744257286,-0.07765286690627493,0.21184752157741893,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Multiple Linear Regression,"['payment_type', 'total_amount']",0.7949260070370081,0.03231028128430491,0.05193256028932536,-9.497977562808457e-05,0.047621507195117374,-0.0955322442513387,0.23082239788618494,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Simple Linear Regression,['total_amount'],0.7949673878812339,0.032252810052793346,0.051833852103100986,-0.00019105224403404009,0.04766841656213487,-0.09568432222238446,0.23101380152239878,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Multiple Linear Regression,"['DOLocationID', 'payment_type']",0.8070355528766461,0.013430234989983192,0.022827683422667944,0.005657612198249645,0.013447346127450787,-0.025239269280472886,0.05316742882424806,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Simple Linear Regression,['DOLocationID'],0.8073179376200582,0.012952139766635895,0.022143731324483773,0.005185655400381128,0.013290349407436192,-0.025361607690307375,0.052337874164648114,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Simple Linear Regression,['payment_type'],0.8160818967075701,0.0005193133504969305,0.0007979695211506321,-0.012218665859176525,0.003564736046229588,-0.04004278701927242,0.057192904334503594,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
