,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Multiple Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount', 'total_amount']",0.6187543265538012,0.6169157544167141,0.6117639478366435,0.36002058695566974,0.5249948594441727,0.44754194275674913,0.39650054134059,"test_size = 0.2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Multiple Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.6252556999892003,0.6059135253298036,0.6035625409632086,0.3334550948544558,0.5621350657894785,0.4237593339759046,0.43177797776389154,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Multiple Linear Regression,"['trip_distance', 'fare_amount', 'total_amount']",0.6303183614479236,0.6065899449766841,0.597116685145554,0.3273385530642766,0.5685602136079382,0.41940458433556616,0.4367653986511632,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Multiple Linear Regression,"['fare_amount', 'total_amount']",0.6363219649349496,0.5961757075904055,0.589405437039352,0.3045445267465439,0.6011397638502409,0.3980316521406671,0.4692276181199989,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Multiple Linear Regression,"['DOLocationID', 'trip_distance', 'total_amount']",0.7240681514645022,0.4663811804195642,0.4683592583440088,0.050229390128040785,0.811020699353541,0.21047257308041978,0.5770206101427207,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Multiple Linear Regression,"['trip_distance', 'total_amount']",0.7400105192189487,0.4485318091815256,0.444690438634909,-0.010793983891153824,0.8896686090590494,0.1592507535773573,0.6467844964682542,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Multiple Linear Regression,"['DOLocationID', 'total_amount']",0.7443452452085696,0.43208101700698753,0.43816576162373666,-0.05063170882792023,0.9399664413887974,0.13133024356762055,0.6792502565272633,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Simple Linear Regression,['total_amount'],0.7596981772257879,0.41484657275485737,0.4147498502144782,-0.105012503053177,1.0102092680846904,0.08266694522013736,0.7465266913889919,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Multiple Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount']",0.8129830648002947,0.32142689724464424,0.32977231593813283,-0.14032283588095185,0.8809768543258757,0.0492605241545816,0.6041479819533215,"test_size = 0.2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Multiple Linear Regression,"['DOLocationID', 'fare_amount']",0.812992554282388,0.3214244256651033,0.32975666948496374,-0.11893572943175734,0.8455735490125036,0.05782753942117243,0.5886012868235958,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
10,Multiple Linear Regression,"['trip_distance', 'fare_amount']",0.8317381947026836,0.2970237696599908,0.29849195559654795,-0.22791000532877104,0.9920999011540076,-0.019930411640382763,0.6941541776236991,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
11,Simple Linear Regression,['fare_amount'],0.8318324006105999,0.2969386118646846,0.2983330355295246,-0.20404123283643621,0.9523485648005081,-0.009021917549132442,0.674313457989883,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
12,Multiple Linear Regression,"['DOLocationID', 'trip_distance']",0.84612094196522,0.2645536240598495,0.2740206742070782,-0.098364743533253,0.6976017442868726,0.05139585105343545,0.47328066095106075,"test_size = 0.2, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
13,Simple Linear Regression,['trip_distance'],0.8650997845163335,0.238714777234593,0.24108738412876773,-0.18757258690723405,0.8081668435112114,-0.01748829789802344,0.5583516073917151,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
14,Simple Linear Regression,['DOLocationID'],0.9635153640335411,0.05222606491395132,0.05859466923355772,0.018374357903555072,0.07418410777887496,0.02508309988192283,0.0652619800793707,"test_size = 0.2, num feature = 1","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
