,Model,Feature details,RMSE,R^2 train,R^2 test,4 fold - mean,4 fold - std,5 fold - mean,5 fold - std,note,Deploy
0,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount', 'total_amount']",0.5415170205053202,0.7476629173215485,0.7026392880741648,-4.061673396018916,7.748749218802891,0.0870554752982912,0.9568257234292492,"test_size = 0.2, Degree = 4, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
1,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount', 'total_amount']",0.5458200769972048,0.7191442467085962,0.6978946770035016,0.47182634276608537,0.38032529219200356,0.5274191252491057,0.27977136109839795,"test_size = 0.2, Degree = 3, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
2,Polynomial Linear Regression,"['trip_distance', 'fare_amount', 'total_amount']",0.5653638296926696,0.6965315211588843,0.6758728540832771,0.440908645927187,0.4190983231743785,0.5345053815155317,0.3394320222921628,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
3,Polynomial Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.5739578811809309,0.6820420568113335,0.6659438957226234,0.47597595410698923,0.4213399683099503,0.5461407477654653,0.3168816965157958,"test_size = 0.2, Degree = 3, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
4,Polynomial Linear Regression,"['DOLocationID', 'trip_distance', 'fare_amount', 'total_amount']",0.580064801638491,0.6724642720979259,0.6587973533462534,0.4768784382025439,0.38571845875792227,0.551843616493993,0.28342070642695616,"test_size = 0.2, Degree = 2, num feature = 4","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
5,Polynomial Linear Regression,"['fare_amount', 'total_amount']",0.586256693944292,0.6761967562486397,0.6514741509236586,0.3805561252958504,0.5358647577615849,0.47574865838173414,0.41494670720100796,"test_size = 0.2, Degree = 4, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
6,Polynomial Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.5897324316703393,0.6575407514255335,0.6473292928103249,0.4340099077034793,0.45800423186751454,0.5153450571772382,0.3367904864972457,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
7,Polynomial Linear Regression,"['fare_amount', 'total_amount']",0.5911041277854938,0.6609598281821365,0.645686786434277,0.4380059005919371,0.46524025860028084,0.5024091658820625,0.3736331150741544,"test_size = 0.2, Degree = 3, num feature = 2","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
8,Polynomial Linear Regression,"['DOLocationID', 'fare_amount', 'total_amount']",0.5921139702761926,0.7018079269241225,0.6444751346980724,0.20362285839265626,0.5222706851305563,0.5032414632535682,0.34585370463807097,"test_size = 0.2, Degree = 4, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
9,Polynomial Linear Regression,"['trip_distance', 'fare_amount', 'total_amount']",0.5954739755158701,0.6551635273070997,0.640428769281655,0.4190296453642252,0.4627131340892885,0.5053636302204442,0.34921927188541635,"test_size = 0.2, Degree = 2, num feature = 3","LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False)"
